iteration,meta_loss,n_valid_tasks,n_skipped,n_skipped_this_iteration,n_skipped_cumulative
1,0.5329430103302002,4,0,0,0
2,0.440938264131546,4,0,0,0
3,0.5062662363052368,4,0,0,0
4,0.41726550459861755,4,0,0,0
5,0.46213898062705994,4,0,0,0
6,0.5135236978530884,4,0,0,0
7,0.5331065058708191,4,0,0,0
8,0.5303189158439636,4,0,0,0
9,0.40123263001441956,4,0,0,0
10,0.8295026421546936,4,0,0,0
11,0.39529556035995483,4,0,0,0
12,0.4759700298309326,4,0,0,0
13,0.8181065320968628,4,0,0,0
14,0.42021122574806213,4,0,0,0
15,0.7065181136131287,4,0,0,0
16,0.47862380743026733,4,0,0,0
17,0.742074728012085,4,0,0,0
18,0.39244213700294495,4,0,0,0
19,0.9884305000305176,4,0,0,0
20,0.43005022406578064,4,0,0,0
21,0.3976517617702484,4,0,0,0
22,0.3957456052303314,4,0,0,0
23,0.42443740367889404,4,0,0,0
24,0.5417541861534119,4,0,0,0
25,0.3896212577819824,4,0,0,0
26,0.388582706451416,4,0,0,0
27,0.4166920483112335,4,0,0,0
28,0.4324113726615906,4,0,0,0
29,0.38356977701187134,4,0,0,0
30,0.6505937576293945,4,0,0,0
31,0.37482208013534546,4,0,0,0
32,0.38635432720184326,4,0,0,0
33,0.5147051811218262,4,0,0,0
34,0.6229572296142578,4,0,0,0
35,0.3807574510574341,4,0,0,0
36,0.4234131872653961,4,0,0,0
37,0.3698505759239197,4,0,0,0
38,0.5011691451072693,4,0,0,0
39,0.3559378981590271,4,0,0,0
40,0.463024377822876,4,0,0,0
41,0.34098315238952637,4,0,0,0
42,0.5999966859817505,4,0,0,0
43,0.32032310962677,4,0,0,0
44,0.39619454741477966,4,0,0,0
45,0.3163483738899231,4,0,0,0
46,0.33104589581489563,4,0,0,0
47,0.6712585687637329,4,0,0,0
48,0.3104303777217865,4,0,0,0
49,0.3510286509990692,4,0,0,0
50,0.5771455764770508,4,0,0,0
51,0.3475615084171295,4,0,0,0
52,0.32971879839897156,4,0,0,0
53,0.8608503341674805,4,0,0,0
54,0.3425503373146057,4,0,0,0
55,0.32477596402168274,4,0,0,0
56,0.3794611096382141,4,0,0,0
57,0.6711146831512451,4,0,0,0
58,0.2917323708534241,4,0,0,0
59,0.3092818558216095,4,0,0,0
60,0.6616170406341553,4,0,0,0
61,0.42977118492126465,4,0,0,0
62,0.6381182074546814,4,0,0,0
63,0.30258336663246155,4,0,0,0
64,0.5398632884025574,4,0,0,0
65,0.35735538601875305,4,0,0,0
66,0.3549370765686035,4,0,0,0
67,0.43468111753463745,4,0,0,0
68,0.32468152046203613,4,0,0,0
69,0.35141420364379883,4,0,0,0
70,0.4162940979003906,4,0,0,0
71,0.42392176389694214,4,0,0,0
72,0.786952793598175,4,0,0,0
73,0.3487967848777771,4,0,0,0
74,0.2706621587276459,4,0,0,0
75,0.6095153093338013,4,0,0,0
76,0.40873435139656067,4,0,0,0
77,0.6014912128448486,4,0,0,0
78,0.33721256256103516,4,0,0,0
79,0.5926926136016846,4,0,0,0
80,0.5056953430175781,4,0,0,0
81,0.2794216573238373,4,0,0,0
82,0.3329838216304779,4,0,0,0
83,0.27570173144340515,4,0,0,0
84,0.3269415497779846,4,0,0,0
85,0.726382851600647,4,0,0,0
86,0.3916849195957184,4,0,0,0
87,0.26313239336013794,4,0,0,0
88,0.32063114643096924,4,0,0,0
89,0.30792486667633057,4,0,0,0
90,0.30713701248168945,4,0,0,0
91,0.31879591941833496,4,0,0,0
92,0.3150687515735626,4,0,0,0
93,0.25482428073883057,4,0,0,0
94,0.30372828245162964,4,0,0,0
95,0.31343400478363037,4,0,0,0
96,0.3100243806838989,4,0,0,0
97,0.24982833862304688,4,0,0,0
98,0.3075627088546753,4,0,0,0
99,0.24786008894443512,4,0,0,0
100,0.47366979718208313,4,0,0,0
101,0.3434116244316101,4,0,0,0
102,0.2993616461753845,4,0,0,0
103,0.46779102087020874,4,0,0,0
104,0.2951134443283081,4,0,0,0
105,0.24401484429836273,4,0,0,0
106,0.33481770753860474,4,0,0,0
107,0.29579511284828186,4,0,0,0
108,0.6496808528900146,4,0,0,0
109,0.3639588952064514,4,0,0,0
110,0.2898603677749634,4,0,0,0
111,0.4484941363334656,4,0,0,0
112,0.23190392553806305,4,0,0,0
113,0.4444308876991272,4,0,0,0
114,0.6285024881362915,4,0,0,0
115,0.2874280512332916,4,0,0,0
116,0.6206514835357666,4,0,0,0
117,0.28531646728515625,4,0,0,0
118,0.2286108285188675,4,0,0,0
119,0.2796964943408966,4,0,0,0
120,0.28181132674217224,4,0,0,0
121,0.34746232628822327,4,0,0,0
122,0.27996233105659485,4,0,0,0
123,0.34484952688217163,4,0,0,0
124,0.27762845158576965,4,0,0,0
125,0.2213825136423111,4,0,0,0
126,0.271129310131073,4,0,0,0
127,0.44964396953582764,4,0,0,0
128,0.27469366788864136,4,0,0,0
129,0.2194506824016571,4,0,0,0
130,0.266676127910614,4,0,0,0
131,0.4398971498012543,4,0,0,0
132,0.26640552282333374,4,0,0,0
133,0.4346800446510315,4,0,0,0
134,0.20892485976219177,4,0,0,0
135,0.4288545250892639,4,0,0,0
136,0.2664332985877991,4,0,0,0
