real_k_pos,real_k_neg,synthetic_k_pos,synthetic_k_neg,effective_k_pos,effective_k_neg,n_real_support_rows,n_synthetic_support_rows,n_effective_support_rows,n_real_support_contracts,n_synthetic_support_contracts,episode_idx,augmentation_method,synthetic_proportion,n_query_rows,n_query_pos,n_query_neg,n_query_synthetic_rows
22,22,22,22,44,44,44,44,88,4,44,0,smote_nc,0.5,32,32,0,0
22,22,22,22,44,44,44,44,88,4,44,1,smote_nc,0.5,32,32,0,0
22,22,22,22,44,44,44,44,88,4,44,2,smote_nc,0.5,32,32,0,0
22,22,22,22,44,44,44,44,88,4,44,3,smote_nc,0.5,32,32,0,0
22,22,22,22,44,44,44,44,88,4,44,4,smote_nc,0.5,32,32,0,0
18,22,18,22,36,44,40,40,80,4,40,5,smote_nc,0.5,36,36,0,0
22,22,22,22,44,44,44,44,88,4,44,6,smote_nc,0.5,32,32,0,0
22,22,22,22,44,44,44,44,88,4,44,7,smote_nc,0.5,32,32,0,0
22,22,22,22,44,44,44,44,88,4,44,8,smote_nc,0.5,32,32,0,0
18,22,18,22,36,44,40,40,80,4,40,9,smote_nc,0.5,36,36,0,0
14,22,14,22,28,44,36,36,72,4,36,10,smote_nc,0.5,40,40,0,0
14,22,14,22,28,44,36,36,72,4,36,11,smote_nc,0.5,40,40,0,0
14,22,14,22,28,44,36,36,72,4,36,12,smote_nc,0.5,40,40,0,0
18,22,18,22,36,44,40,40,80,4,40,13,smote_nc,0.5,36,36,0,0
14,22,14,22,28,44,36,36,72,4,36,14,smote_nc,0.5,40,40,0,0
18,22,18,22,36,44,40,40,80,4,40,15,smote_nc,0.5,36,36,0,0
14,22,14,22,28,44,36,36,72,4,36,16,smote_nc,0.5,40,40,0,0
14,22,14,22,28,44,36,36,72,4,36,17,smote_nc,0.5,40,40,0,0
22,22,22,22,44,44,44,44,88,4,44,18,smote_nc,0.5,32,32,0,0
18,22,18,22,36,44,40,40,80,4,40,19,smote_nc,0.5,36,36,0,0
