iteration,meta_loss,n_valid_tasks,n_skipped,n_skipped_this_iteration,n_skipped_cumulative
1,1.323004126548767,4,0,0,0
2,1.0620217323303223,4,0,0,0
3,1.7415798902511597,4,0,0,0
4,0.8199011087417603,4,0,0,0
5,1.6043486595153809,4,0,0,0
6,0.9816495776176453,4,0,0,0
7,0.666553795337677,4,0,0,0
8,0.5718894600868225,4,0,0,0
9,0.7858374714851379,4,0,0,0
10,0.44780388474464417,4,0,0,0
11,0.7704420685768127,4,0,0,0
12,0.9134265184402466,4,0,0,0
13,0.4754061698913574,4,0,0,0
14,0.9617531299591064,4,0,0,0
15,0.5176597237586975,4,0,0,0
16,0.7062864303588867,4,0,0,0
17,0.46774202585220337,4,0,0,0
18,0.7015801668167114,4,0,0,0
19,0.618133544921875,4,0,0,0
20,0.4623739719390869,4,0,0,0
21,0.42392343282699585,4,0,0,0
22,0.4583367705345154,4,0,0,0
23,1.3631490468978882,4,0,0,0
24,1.4394350051879883,4,0,0,0
25,0.6671104431152344,4,0,0,0
26,0.8113594055175781,4,0,0,0
27,0.40661540627479553,4,0,0,0
28,1.002111792564392,4,0,0,0
29,0.44534024596214294,4,0,0,0
30,0.40690359473228455,4,0,0,0
31,0.8084978461265564,4,0,0,0
32,0.502815842628479,4,0,0,0
33,0.9825028777122498,4,0,0,0
34,0.41851428151130676,4,0,0,0
35,0.8888980746269226,4,0,0,0
36,0.7002599835395813,4,0,0,0
37,1.1962734460830688,4,0,0,0
38,0.7540748119354248,4,0,0,0
39,0.47621163725852966,4,0,0,0
40,1.1493172645568848,4,0,0,0
41,0.827445924282074,4,0,0,0
42,0.39763668179512024,4,0,0,0
43,0.5326797962188721,4,0,0,0
44,1.082465648651123,4,0,0,0
45,0.44362518191337585,4,0,0,0
46,0.7757360339164734,4,0,0,0
47,0.42286252975463867,4,0,0,0
48,0.6230337023735046,4,0,0,0
49,0.4055204391479492,4,0,0,0
50,0.4051009714603424,4,0,0,0
51,0.2665988504886627,4,0,0,0
52,0.6346157193183899,4,0,0,0
53,0.5063121318817139,4,0,0,0
54,0.414355605840683,4,0,0,0
55,0.619443953037262,4,0,0,0
56,0.6542524099349976,4,0,0,0
57,0.4140898585319519,4,0,0,0
58,0.5660951733589172,4,0,0,0
59,0.5980422496795654,4,0,0,0
60,0.3601909577846527,4,0,0,0
61,0.4971415102481842,4,0,0,0
62,0.3530239164829254,4,0,0,0
63,0.9313601851463318,4,0,0,0
