model,gold_auroc,gold_ap,gold_logloss,gold_brier,gold_ece,gold_f1,gold_accuracy,gold_pred_mean,gold_true_mean,n_eval_rows,n_positive,precision_at_5,recall_at_5,ndcg_at_5,precision_at_10,recall_at_10,ndcg_at_10,precision_at_20,recall_at_20,ndcg_at_20,episode_idx
FINETUNE,0.5,0.8225806451612904,3.268185300616189,0.17741935129032266,0.17741934483870947,0.9026548672566371,0.8225806451612904,0.9999999899999998,0.8225806451612904,62,51,1.0,0.09803921568627451,0.8225806451612901,1.0,0.19607843137254902,0.8225806451612904,0.6,0.23529411764705882,0.8225806451612904,0
FINETUNE,0.5,0.7962962962962963,14.668319853702815,0.7962962803703701,0.7962962862962962,0.0,0.2037037037037037,1e-08,0.7962962962962963,54,43,1.0,0.11627906976744186,0.7962962962962962,0.8,0.18604651162790697,0.7962962962962963,0.45,0.20930232558139536,0.7962962962962962,1
FINETUNE,0.5,0.7962962962962963,14.668319853702812,0.7962962803703704,0.7962962862962962,0.0,0.2037037037037037,1e-08,0.7962962962962963,54,43,1.0,0.11627906976744186,0.7962962962962962,1.0,0.23255813953488372,0.7962962962962963,0.75,0.3488372093023256,0.7962962962962962,2
FINETUNE,0.5,0.8103448275862069,3.4935773896242015,0.18965516862068973,0.1896551624137931,0.8952380952380953,0.8103448275862069,0.99999999,0.8103448275862069,58,47,1.0,0.10638297872340426,0.8103448275862067,1.0,0.2127659574468085,0.8103448275862069,0.85,0.3617021276595745,0.8103448275862069,3
FINETUNE,0.5,0.7962962962962963,14.668319853702815,0.7962962803703701,0.7962962862962962,0.0,0.2037037037037037,1e-08,0.7962962962962963,54,43,1.0,0.11627906976744186,0.7962962962962962,0.8,0.18604651162790697,0.7962962962962963,0.45,0.20930232558139536,0.7962962962962962,4
FINETUNE,0.5,0.8225806451612904,3.268185300616189,0.17741935129032266,0.17741934483870947,0.9026548672566371,0.8225806451612904,0.9999999899999998,0.8225806451612904,62,51,1.0,0.09803921568627451,0.8225806451612901,1.0,0.19607843137254902,0.8225806451612904,0.6,0.23529411764705882,0.8225806451612904,5
FINETUNE,0.5,0.8225806451612904,3.2681853006161896,0.17741935129032266,0.17741934483870947,0.9026548672566371,0.8225806451612904,0.9999999899999998,0.8225806451612904,62,51,1.0,0.09803921568627451,0.8225806451612901,1.0,0.19607843137254902,0.8225806451612904,0.95,0.37254901960784315,0.8225806451612904,6
FINETUNE,0.5,0.8225806451612904,3.2681853006161896,0.17741935129032266,0.17741934483870947,0.9026548672566371,0.8225806451612904,0.9999999899999998,0.8225806451612904,62,51,1.0,0.09803921568627451,0.8225806451612901,1.0,0.19607843137254902,0.8225806451612904,0.95,0.37254901960784315,0.8225806451612904,7
FINETUNE,0.5,0.7962962962962963,14.668319853702815,0.7962962803703701,0.7962962862962962,0.0,0.2037037037037037,1e-08,0.7962962962962963,54,43,1.0,0.11627906976744186,0.7962962962962962,0.8,0.18604651162790697,0.7962962962962963,0.45,0.20930232558139536,0.7962962962962962,8
FINETUNE,0.5,0.7962962962962963,14.668319853702815,0.7962962803703701,0.7962962862962962,0.0,0.2037037037037037,1e-08,0.7962962962962963,54,43,1.0,0.11627906976744186,0.7962962962962962,0.8,0.18604651162790697,0.7962962962962963,0.45,0.20930232558139536,0.7962962962962962,9
FINETUNE,0.8646034816247582,0.9674547125997803,0.5980638199137387,0.15511741989342653,0.15724504215399382,0.8952380952380953,0.8103448275862069,0.9675898697402008,0.8103448275862069,58,47,1.0,0.10638297872340426,0.9999999999999999,1.0,0.2127659574468085,1.0,1.0,0.425531914893617,0.9999999999999999,10
FINETUNE,0.5,0.7962962962962963,14.668319853702812,0.7962962803703704,0.7962962862962962,0.0,0.2037037037037037,1e-08,0.7962962962962963,54,43,1.0,0.11627906976744186,0.7962962962962962,1.0,0.23255813953488372,0.7962962962962963,0.75,0.3488372093023256,0.7962962962962962,11
FINETUNE,0.5,0.7962962962962963,3.752360899225995,0.20370369962962973,0.20370369370370356,0.8865979381443299,0.7962962962962963,0.9999999899999998,0.7962962962962963,54,43,1.0,0.11627906976744186,0.7962962962962962,1.0,0.23255813953488372,0.7962962962962963,0.75,0.3488372093023256,0.7962962962962962,12
FINETUNE,0.5,0.8103448275862069,3.4935773896242015,0.18965516862068973,0.1896551624137931,0.8952380952380953,0.8103448275862069,0.99999999,0.8103448275862069,58,47,1.0,0.10638297872340426,0.8103448275862067,1.0,0.2127659574468085,0.8103448275862069,0.85,0.3617021276595745,0.8103448275862069,13
