iteration,meta_loss,n_valid_tasks,n_skipped,n_skipped_this_iteration,n_skipped_cumulative
1,1.5756937855188058e-13,2,0,0,0
2,8.74012187068729e-08,2,0,0,0
3,8.102666854858398,2,0,0,0
4,105.44226837158203,2,0,0,0
5,61.52474594116211,2,0,0,0
6,45.012596130371094,2,0,0,0
7,54.42679214477539,2,0,0,0
8,0.9458105564117432,2,0,0,0
9,0.002338110003620386,2,0,0,0
10,0.0020284270867705345,2,0,0,0
11,0.054663337767124176,2,0,0,0
12,0.002051260322332382,2,0,0,0
13,0.0009179075714200735,2,0,0,0
14,0.0005270777619443834,2,0,0,0
15,8.952884655855087e-09,2,0,0,0
16,1.1606513528050755e-09,2,0,0,0
17,3.0125976713257785e-10,2,0,0,0
18,1.8917825639341856e-10,2,0,0,0
19,6.5255656780949245e-12,2,0,0,0
20,1.8285598729628205e-12,2,0,0,0
21,6.815049857777922e-08,2,0,0,0
22,1.0833707195234688e-11,2,0,0,0
23,8.804182968606689e-13,2,0,0,0
24,2.998045063075383e-13,2,0,0,0
25,6.14793282949222e-09,2,0,0,0
26,1.3997827341682978e-09,2,0,0,0
27,4.735262737476376e-10,2,0,0,0
28,2.3209572284910163e-12,2,0,0,0
29,1.072452673542279e-12,2,0,0,0
30,1.3956434749204383e-12,2,0,0,0
31,12.145071029663086,2,0,0,0
32,3.707997530000284e-05,2,0,0,0
33,0.00014145910972729325,2,0,0,0
34,3.058726179006044e-06,2,0,0,0
35,1.0541482451390094e-19,2,0,0,0
36,6.84240711033607e-15,2,0,0,0
37,4.079374709667523e-14,2,0,0,0
38,8.489400588757023e-14,2,0,0,0
39,3.096369596269563e-14,2,0,0,0
40,3.313059047143816e-15,2,0,0,0
41,37.596744537353516,2,0,0,0
42,9.3350830078125,2,0,0,0
43,24.545635223388672,2,0,0,0
44,19.111400604248047,2,0,0,0
45,2.9215633869171143,2,0,0,0
46,0.0006493930704891682,2,0,0,0
47,0.1813233494758606,2,0,0,0
48,0.05955180898308754,2,0,0,0
49,0.010360434651374817,2,0,0,0
50,0.03256337717175484,2,0,0,0
51,0.10705660283565521,2,0,0,0
52,0.00039787235436961055,2,0,0,0
53,0.005659044720232487,2,0,0,0
54,3.4411745071411133,2,0,0,0
55,0.017949702218174934,2,0,0,0
56,0.0034495159052312374,2,0,0,0
57,0.0014683881308883429,2,0,0,0
58,0.00027210975531488657,2,0,0,0
59,0.003701964858919382,2,0,0,0
60,9.302318358095363e-05,2,0,0,0
61,2.7372916520107538e-05,2,0,0,0
62,0.0008832229068502784,2,0,0,0
63,0.0017518680542707443,2,0,0,0
64,0.0010154603514820337,2,0,0,0
65,0.0005764743546023965,2,0,0,0
66,0.00012727153080049902,2,0,0,0
67,1.6475209122290835e-05,2,0,0,0
68,0.000145213445648551,2,0,0,0
69,6.225845368135197e-07,2,0,0,0
70,3.4718397046162863e-07,2,0,0,0
71,0.00030102572054602206,2,0,0,0
72,1.6054225682182732e-07,2,0,0,0
73,5.252408072919934e-07,2,0,0,0
74,1.800707671861801e-08,2,0,0,0
75,2.2312878655839086e-08,2,0,0,0
76,1.1107822501799092e-06,2,0,0,0
77,1.133212066406486e-07,2,0,0,0
78,0.030206965282559395,2,0,0,0
79,1.1665526471915655e-05,2,0,0,0
80,5.9162657635170035e-06,2,0,0,0
81,2.8999945698160445e-06,2,0,0,0
82,1.440506594008184e-06,2,0,0,0
83,7.266133934535901e-07,2,0,0,0
84,9.552648805311037e-08,2,0,0,0
85,3.094810807624526e-08,2,0,0,0
86,2.937694709714833e-08,2,0,0,0
87,2.9460840877959527e-08,2,0,0,0
88,2.420568279148938e-08,2,0,0,0
89,2.4164439338392185e-08,2,0,0,0
90,3.0361896108388464e-08,2,0,0,0
91,4.123840824377112e-08,2,0,0,0
92,3.8784484956977394e-08,2,0,0,0
93,1.4147972251521423e-06,2,0,0,0
94,1.1309034562145825e-06,2,0,0,0
95,1.5658973779864027e-06,2,0,0,0
96,1.4044073850527639e-06,2,0,0,0
97,1.0360070064052707e-06,2,0,0,0
98,7.161017947510118e-07,2,0,0,0
99,5.839643790750415e-07,2,0,0,0
100,4.592200752995268e-07,2,0,0,0
101,5.446205477710464e-07,2,0,0,0
102,8.593966640546569e-07,2,0,0,0
103,5.802365308227309e-07,2,0,0,0
104,3.8478935948660364e-07,2,0,0,0
105,2.549484747760289e-07,2,0,0,0
106,1.7198769342030573e-07,2,0,0,0
107,4.3861018639290705e-07,2,0,0,0
108,1.2555202433262025e-09,2,0,0,0
109,7.841412852371832e-09,2,0,0,0
110,8.616784619164264e-09,2,0,0,0
111,9.903270203892589e-09,2,0,0,0
112,1.0567534403094214e-08,2,0,0,0
113,1.0281680395962667e-08,2,0,0,0
114,1.102254465479291e-08,2,0,0,0
115,1.1713519931788596e-08,2,0,0,0
116,1.1785882492176825e-08,2,0,0,0
117,1.1941201805143464e-08,2,0,0,0
118,1.2192804987876116e-08,2,0,0,0
119,1.2265589433013702e-08,2,0,0,0
120,1.2245666702881408e-08,2,0,0,0
121,1.215858169700823e-08,2,0,0,0
122,1.2229003587549414e-08,2,0,0,0
123,1.2362317391989563e-08,2,0,0,0
124,1.2129571125285565e-08,2,0,0,0
125,1.2104512947530566e-08,2,0,0,0
126,1.2091150303206177e-08,2,0,0,0
127,1.2180421116170237e-08,2,0,0,0
128,1.2156098350146749e-08,2,0,0,0
129,1.2060175968997555e-08,2,0,0,0
130,1.1806518429580137e-08,2,0,0,0
131,1.2171804897320726e-08,2,0,0,0
132,1.2138727356614254e-08,2,0,0,0
133,1.212520572835274e-08,2,0,0,0
134,1.1801128074750977e-08,2,0,0,0
135,1.1600825189361785e-08,2,0,0,0
136,1.1903642516131185e-08,2,0,0,0
137,1.197897958604699e-08,2,0,0,0
138,1.1447740533299111e-08,2,0,0,0
139,1.1387702336662642e-08,2,0,0,0
140,1.1531724908309116e-08,2,0,0,0
141,1.1621519746540798e-08,2,0,0,0
142,1.1806839950168069e-08,2,0,0,0
143,1.154026918470663e-08,2,0,0,0
144,1.1319191806080653e-08,2,0,0,0
145,1.1664885946061077e-08,2,0,0,0
146,1.165729557328632e-08,2,0,0,0
147,1.1759176743453281e-08,2,0,0,0
148,1.1427768953353734e-08,2,0,0,0
149,1.1846240433044386e-08,2,0,0,0
150,1.1177293757214102e-08,2,0,0,0
151,1.1708409353161642e-08,2,0,0,0
152,1.1590429949137615e-08,2,0,0,0
153,1.1465807858712651e-08,2,0,0,0
154,1.140210414973808e-08,2,0,0,0
155,1.1168252100901555e-08,2,0,0,0
156,1.1190103066383017e-08,2,0,0,0
157,1.1413162859241766e-08,2,0,0,0
158,1.1160022239664613e-08,2,0,0,0
159,1.1585070680553144e-08,2,0,0,0
160,1.11819780101996e-08,2,0,0,0
161,1.1344188699524693e-08,2,0,0,0
162,1.1598149995961649e-08,2,0,0,0
163,1.1151483292337616e-08,2,0,0,0
164,1.1391981580288757e-08,2,0,0,0
165,1.163801144343779e-08,2,0,0,0
166,1.1488388906855107e-08,2,0,0,0
167,1.1769716756759863e-08,2,0,0,0
168,1.1440851821475917e-08,2,0,0,0
169,1.142464078895955e-08,2,0,0,0
170,1.1777433250870217e-08,2,0,0,0
171,1.1752864459424472e-08,2,0,0,0
172,1.132625015998201e-08,2,0,0,0
173,1.1425244750284946e-08,2,0,0,0
174,1.1300192781504848e-08,2,0,0,0
175,1.144916517148431e-08,2,0,0,0
176,1.1535867372458597e-08,2,0,0,0
177,1.1319519543917522e-08,2,0,0,0
178,1.1726111637244685e-08,2,0,0,0
179,1.1626635654238271e-08,2,0,0,0
180,1.1078467920810908e-08,2,0,0,0
181,1.1559707857600188e-08,2,0,0,0
182,1.1571403391030799e-08,2,0,0,0
183,1.1725282078600685e-08,2,0,0,0
184,1.1447267134201411e-08,2,0,0,0
185,1.1419623469066664e-08,2,0,0,0
186,1.1755060036477971e-08,2,0,0,0
187,1.174920072344321e-08,2,0,0,0
188,1.1407472300106747e-08,2,0,0,0
189,1.1302963898174312e-08,2,0,0,0
190,1.1458540782882665e-08,2,0,0,0
191,1.1437314206830251e-08,2,0,0,0
192,1.1441208869200636e-08,2,0,0,0
193,1.1504868169254223e-08,2,0,0,0
194,1.1540493005668395e-08,2,0,0,0
195,1.1641310138088556e-08,2,0,0,0
196,1.1096333629723176e-08,2,0,0,0
197,1.1101471741881141e-08,2,0,0,0
198,1.1571628988349403e-08,2,0,0,0
199,1.1413661127335217e-08,2,0,0,0
200,1.1624532447740421e-08,2,0,0,0
