model,gold_auroc,gold_ap,gold_logloss,gold_brier,gold_ece,gold_f1,gold_accuracy,gold_pred_mean,gold_true_mean,n_eval_rows,n_positive,precision_at_5,recall_at_5,ndcg_at_5,precision_at_10,recall_at_10,ndcg_at_10,precision_at_20,recall_at_20,ndcg_at_20,episode_idx
FOMAML,,,0.42641512945688814,0.12122831180671474,0.34538174122571946,0.9743589743589743,0.95,0.6546182587742806,1.0,40,40,1.0,0.125,0.9999999999999999,1.0,0.25,1.0,1.0,0.5,0.9999999999999999,0
FOMAML,,,0.3898773982296356,0.1052289407396233,0.32089450024068356,0.9841269841269841,0.96875,0.6791054997593164,1.0,32,32,1.0,0.15625,0.9999999999999999,1.0,0.3125,1.0,1.0,0.625,0.9999999999999999,1
FOMAML,,,0.42641515103177224,0.12122832157186428,0.34538175463676457,0.9743589743589743,0.95,0.6546182453632354,1.0,40,40,1.0,0.125,0.9999999999999999,1.0,0.25,1.0,1.0,0.5,0.9999999999999999,2
FOMAML,,,0.3898773982296356,0.1052289407396233,0.32089450024068356,0.9841269841269841,0.96875,0.6791054997593164,1.0,32,32,1.0,0.15625,0.9999999999999999,1.0,0.3125,1.0,1.0,0.625,0.9999999999999999,3
FOMAML,,,0.39541392188903896,0.10751707785046055,0.32485310484965646,0.9859154929577465,0.9722222222222222,0.6751468951503435,1.0,36,36,1.0,0.1388888888888889,0.9999999999999999,1.0,0.2777777777777778,1.0,1.0,0.5555555555555556,0.9999999999999999,4
FOMAML,,,0.42641512945688814,0.12122831180671474,0.34538174122571946,0.9743589743589743,0.95,0.6546182587742806,1.0,40,40,1.0,0.125,0.9999999999999999,1.0,0.25,1.0,1.0,0.5,0.9999999999999999,5
FOMAML,,,0.42641441062314944,0.12122798818214897,0.3453812748193741,0.9743589743589743,0.95,0.6546187251806259,1.0,40,40,1.0,0.125,0.9999999999999999,1.0,0.25,1.0,1.0,0.5,0.9999999999999999,6
FOMAML,,,0.42641441062314944,0.12122798818214897,0.3453812748193741,0.9743589743589743,0.95,0.6546187251806259,1.0,40,40,1.0,0.125,0.9999999999999999,1.0,0.25,1.0,1.0,0.5,0.9999999999999999,7
FOMAML,,,0.3898773982296356,0.1052289407396233,0.32089450024068356,0.9841269841269841,0.96875,0.6791054997593164,1.0,32,32,1.0,0.15625,0.9999999999999999,1.0,0.3125,1.0,1.0,0.625,0.9999999999999999,8
FOMAML,,,0.0009778932822169985,9.555858722581295e-07,0.0009774151775572282,1.0,1.0,0.9990225848224428,1.0,36,36,1.0,0.1388888888888889,0.9999999999999999,1.0,0.2777777777777778,1.0,1.0,0.5555555555555556,0.9999999999999999,9
FOMAML,,,0.3898773982296356,0.1052289407396233,0.32089450024068356,0.9841269841269841,0.96875,0.6791054997593164,1.0,32,32,1.0,0.15625,0.9999999999999999,1.0,0.3125,1.0,1.0,0.625,0.9999999999999999,10
FOMAML,,,0.42641515103177224,0.12122832157186428,0.34538175463676457,0.9743589743589743,0.95,0.6546182453632354,1.0,40,40,1.0,0.125,0.9999999999999999,1.0,0.25,1.0,1.0,0.5,0.9999999999999999,11
FOMAML,,,0.0009778932822169985,9.555858722581295e-07,0.0009774151775572282,1.0,1.0,0.9990225848224428,1.0,36,36,1.0,0.1388888888888889,0.9999999999999999,1.0,0.2777777777777778,1.0,1.0,0.5555555555555556,0.9999999999999999,12
FOMAML,,,0.39541392188903896,0.10751707785046055,0.32485310484965646,0.9859154929577465,0.9722222222222222,0.6751468951503435,1.0,36,36,1.0,0.1388888888888889,0.9999999999999999,1.0,0.2777777777777778,1.0,1.0,0.5555555555555556,0.9999999999999999,13
FOMAML,,,0.0010905884830392646,1.1883728125994253e-06,0.0010899938642978668,1.0,1.0,0.9989100061357021,1.0,32,32,1.0,0.15625,0.9999999999999999,1.0,0.3125,1.0,1.0,0.625,0.9999999999999999,14
FOMAML,,,0.42641512945688814,0.12122831180671474,0.34538174122571946,0.9743589743589743,0.95,0.6546182587742806,1.0,40,40,1.0,0.125,0.9999999999999999,1.0,0.25,1.0,1.0,0.5,0.9999999999999999,15
FOMAML,,,0.0010913157069705594,1.189955731950576e-06,0.001090720295906067,1.0,1.0,0.9989092797040939,1.0,32,32,1.0,0.15625,0.9999999999999999,1.0,0.3125,1.0,1.0,0.625,0.9999999999999999,16
FOMAML,,,0.3954139241281993,0.10751707871333033,0.32485310650534105,0.9859154929577465,0.9722222222222222,0.675146893494659,1.0,36,36,1.0,0.1388888888888889,0.9999999999999999,1.0,0.2777777777777778,1.0,1.0,0.5555555555555556,0.9999999999999999,17
FOMAML,,,0.0010238493473206435,1.0473312821446257e-06,0.0010233253240585771,1.0,1.0,0.9989766746759414,1.0,40,40,1.0,0.125,0.9999999999999999,1.0,0.25,1.0,1.0,0.5,0.9999999999999999,18
FOMAML,,,0.39541392188903896,0.10751707785046055,0.32485310484965646,0.9859154929577465,0.9722222222222222,0.6751468951503435,1.0,36,36,1.0,0.1388888888888889,0.9999999999999999,1.0,0.2777777777777778,1.0,1.0,0.5555555555555556,0.9999999999999999,19
