iteration,meta_loss,n_valid_tasks,n_skipped,n_skipped_this_iteration,n_skipped_cumulative
1,12.876679420471191,4,0,0,0
2,25.301298141479492,4,0,0,0
3,68.96244812011719,4,0,0,0
4,43.41728973388672,4,0,0,0
5,28.161972045898438,4,0,0,0
6,14.557733535766602,4,0,0,0
7,12.306705474853516,4,0,0,0
8,2.358462333679199,4,0,0,0
9,2.8127143383026123,4,0,0,0
10,3.3155884742736816,4,0,0,0
11,1.1255265474319458,4,0,0,0
12,4.395147323608398,4,0,0,0
13,6.40448522567749,4,0,0,0
14,1.0865130424499512,4,0,0,0
15,1.0881521701812744,4,0,0,0
16,0.8213280439376831,4,0,0,0
17,4.229817867279053,4,0,0,0
18,1.7053499221801758,4,0,0,0
19,0.8573874235153198,4,0,0,0
20,0.609668493270874,4,0,0,0
21,0.896186113357544,4,0,0,0
22,1.631308674812317,4,0,0,0
23,0.570086658000946,4,0,0,0
24,0.7827939391136169,4,0,0,0
25,0.6557042598724365,4,0,0,0
26,0.7296111583709717,4,0,0,0
27,0.6228792667388916,4,0,0,0
28,0.5637578964233398,4,0,0,0
29,0.7718064785003662,4,0,0,0
30,1.7044107913970947,4,0,0,0
31,2.3225088119506836,4,0,0,0
32,0.8006424903869629,4,0,0,0
33,0.6475797891616821,4,0,0,0
34,2.1337954998016357,4,0,0,0
35,1.0241994857788086,4,0,0,0
36,0.5527787208557129,4,0,0,0
37,0.7324007749557495,4,0,0,0
38,0.6298603415489197,4,0,0,0
39,0.5702174305915833,4,0,0,0
40,0.6358528733253479,4,0,0,0
41,0.5859830975532532,4,0,0,0
42,0.6040500402450562,4,0,0,0
43,0.7263915538787842,4,0,0,0
44,0.6050074100494385,4,0,0,0
45,0.6896368265151978,4,0,0,0
46,0.6368871927261353,4,0,0,0
47,0.500999391078949,4,0,0,0
48,0.5880446434020996,4,0,0,0
49,0.5718240737915039,4,0,0,0
50,1.151600956916809,4,0,0,0
51,0.5467923879623413,4,0,0,0
52,0.6216423511505127,4,0,0,0
53,0.5634069442749023,4,0,0,0
54,0.5407688021659851,4,0,0,0
55,0.7008767127990723,4,0,0,0
56,0.5354045033454895,4,0,0,0
57,0.52707839012146,4,0,0,0
58,0.5746815204620361,4,0,0,0
59,1.979624629020691,4,0,0,0
60,0.6221330165863037,4,0,0,0
61,1.52303946018219,4,0,0,0
62,2.651106357574463,4,0,0,0
63,0.5946972966194153,4,0,0,0
64,0.5997452735900879,4,0,0,0
65,0.6503885388374329,4,0,0,0
66,0.5483589172363281,4,0,0,0
67,0.547612726688385,4,0,0,0
68,0.64998459815979,4,0,0,0
69,0.6016972661018372,4,0,0,0
70,0.5756024122238159,4,0,0,0
71,0.5441250801086426,4,0,0,0
72,0.46355199813842773,4,0,0,0
73,0.5660046339035034,4,0,0,0
74,0.5940995812416077,4,0,0,0
75,0.6575634479522705,4,0,0,0
76,0.6908553242683411,4,0,0,0
77,0.6000896096229553,4,0,0,0
78,0.6715120077133179,4,0,0,0
79,0.5756070613861084,4,0,0,0
80,0.7101156115531921,4,0,0,0
81,0.6054806709289551,4,0,0,0
82,0.5702612400054932,4,0,0,0
83,0.6327706575393677,4,0,0,0
84,0.6264423131942749,4,0,0,0
85,0.6360436677932739,4,0,0,0
86,0.6193123459815979,4,0,0,0
87,0.5157294273376465,4,0,0,0
88,0.6268011331558228,4,0,0,0
89,0.5886332988739014,4,0,0,0
90,0.589634895324707,4,0,0,0
91,0.6609532833099365,4,0,0,0
92,0.5836049318313599,4,0,0,0
93,0.645297110080719,4,0,0,0
94,0.6685487031936646,4,0,0,0
95,0.6454141736030579,4,0,0,0
96,0.6256482601165771,4,0,0,0
97,0.5874390602111816,4,0,0,0
98,0.633330225944519,4,0,0,0
99,0.6463536024093628,4,0,0,0
100,0.5834910869598389,4,0,0,0
101,0.5014181137084961,4,0,0,0
102,0.5919733047485352,4,0,0,0
103,0.5665520429611206,4,0,0,0
104,0.5546775460243225,4,0,0,0
105,0.5791419744491577,4,0,0,0
106,0.6155405640602112,4,0,0,0
107,0.572623610496521,4,0,0,0
108,0.6343953013420105,4,0,0,0
109,0.6350358128547668,4,0,0,0
110,0.6797375679016113,4,0,0,0
111,0.5517547726631165,4,0,0,0
112,0.6062498092651367,4,0,0,0
113,0.5956461429595947,4,0,0,0
114,0.5650075078010559,4,0,0,0
115,0.5547333359718323,4,0,0,0
116,0.6325868368148804,4,0,0,0
117,0.559069037437439,4,0,0,0
118,0.5748300552368164,4,0,0,0
119,0.6462735533714294,4,0,0,0
120,0.5172969102859497,4,0,0,0
121,0.637943685054779,4,0,0,0
122,0.5634313821792603,4,0,0,0
123,0.5817521810531616,4,0,0,0
124,0.5521264672279358,4,0,0,0
125,0.68209308385849,4,0,0,0
126,0.5998417735099792,4,0,0,0
127,0.6420203447341919,4,0,0,0
128,0.5120549201965332,4,0,0,0
129,0.7455372214317322,4,0,0,0
130,0.5531489849090576,4,0,0,0
131,0.6376107335090637,4,0,0,0
132,0.5734983682632446,4,0,0,0
133,0.6691856980323792,4,0,0,0
134,0.5708602666854858,4,0,0,0
135,0.5821276307106018,4,0,0,0
136,0.5726022124290466,4,0,0,0
137,0.617155909538269,4,0,0,0
138,0.5428837537765503,4,0,0,0
139,0.5617169141769409,4,0,0,0
140,0.609264612197876,4,0,0,0
141,0.5498265624046326,4,0,0,0
142,0.6227921843528748,4,0,0,0
143,0.5336765050888062,4,0,0,0
144,0.6222826838493347,4,0,0,0
145,0.6361256837844849,4,0,0,0
146,0.5365323424339294,4,0,0,0
147,0.5890575647354126,4,0,0,0
148,0.5732755661010742,4,0,0,0
149,0.6211814284324646,4,0,0,0
150,0.5541623830795288,4,0,0,0
151,0.5505157113075256,4,0,0,0
152,0.6209559440612793,4,0,0,0
153,0.5533281564712524,4,0,0,0
154,0.6303375959396362,4,0,0,0
155,0.6297610402107239,4,0,0,0
156,0.5950264930725098,4,0,0,0
157,0.604027509689331,4,0,0,0
158,0.507239043712616,4,0,0,0
159,0.45737600326538086,4,0,0,0
160,0.5077301263809204,4,0,0,0
161,0.5049411654472351,4,0,0,0
162,0.5896849036216736,4,0,0,0
163,0.5882248878479004,4,0,0,0
164,0.5056825280189514,4,0,0,0
165,0.5703892707824707,4,0,0,0
166,0.6130866408348083,4,0,0,0
167,0.496707558631897,4,0,0,0
168,0.6271556615829468,4,0,0,0
169,0.6142569184303284,4,0,0,0
170,0.6697866320610046,4,0,0,0
171,0.5959450602531433,4,0,0,0
172,0.5509070158004761,4,0,0,0
173,0.4738737940788269,4,0,0,0
174,0.5702401399612427,4,0,0,0
175,0.6366309523582458,4,0,0,0
176,0.5487114787101746,4,0,0,0
177,0.6459091901779175,4,0,0,0
178,0.543708086013794,4,0,0,0
179,0.6932948231697083,4,0,0,0
180,0.5155705809593201,4,0,0,0
181,0.5650196075439453,4,0,0,0
182,0.7598711252212524,4,0,0,0
183,0.7343267798423767,4,0,0,0
184,0.6013511419296265,4,0,0,0
185,0.623598575592041,4,0,0,0
186,0.5629056096076965,4,0,0,0
187,0.5828025937080383,4,0,0,0
188,0.6264908313751221,4,0,0,0
189,0.6344263553619385,4,0,0,0
190,0.6383160948753357,4,0,0,0
191,0.5152785778045654,4,0,0,0
192,0.5704549551010132,4,0,0,0
