iteration,meta_loss,n_valid_tasks,n_skipped,n_skipped_this_iteration,n_skipped_cumulative,outer_grad_norm,support_loss_before_mean,support_loss_after_mean,query_pred_mean,query_pred_std,collapse_flag
1,6.315578460693359,2,0,0,0,51252.31385463485,0.864804208278656,2.993332266807556,0.3947107405344291,0.44165584086483284,0
2,1.3270723819732666,2,0,0,0,986.7379000167441,18.883798599243164,0.7650602459907532,0.2755329869687557,0.08967771866865706,0
3,0.019847851246595383,2,0,0,0,22.23466498362287,12.52211332321167,2.3487327098846436,0.9804845802485943,0.004484971852116759,1
4,14.922450065612793,2,0,0,0,1666.948308365643,7.739666223526001,6.458918809890747,3.4759643362329316e-07,9.284797977035693e-08,1
5,0.3097057342529297,2,0,0,0,347.63853548837415,0.7859654724597931,0.7761036157608032,0.7362071126699448,0.064046660806376,0
6,1.354427456855774,2,0,0,0,1004.0078117524986,6.257922649383545,0.8447762429714203,0.2642203427385539,0.05933346648113063,0
7,0.0005377502529881895,2,0,0,0,0.38500923623405636,9.046584606170654,4.389031171798706,0.9994623057152096,3.743542141185383e-05,1
8,2.6668240025173873e-06,2,0,0,0,0.0017827705389399675,10.131817817687988,6.768170356750488,0.9999973283094519,5.181049308234348e-07,1
9,1.0155002172496097e-07,2,0,0,0,7.242751722178845e-05,13.817116737365723,9.885533332824707,0.999999874830246,2.598106231415673e-08,1
10,6.033713084718784e-09,2,0,0,0,0.0,15.019412517547607,11.012794017791748,1.0,0.0,1
11,3.5021702204929284e-10,2,0,0,0,0.0,16.91429901123047,12.700439453125,1.0,0.0,1
12,2.0484875948301173e-11,2,0,0,0,0.0,16.943586349487305,12.960890293121338,1.0,0.0,1
13,1.644414422338758e-12,2,0,0,0,0.0,18.49341583251953,14.321980476379395,1.0,0.0,1
14,1.356620165596928e-13,2,0,0,0,0.0,22.53895378112793,17.66618251800537,1.0,0.0,1
15,1.3469442541305578e-14,2,0,0,0,0.0,21.266895294189453,16.852166175842285,1.0,0.0,1
16,1.4292334202530184e-15,2,0,0,0,0.0,22.527599334716797,17.98948860168457,1.0,0.0,1
17,2.0469572903892793e-16,2,0,0,0,0.0,27.592144012451172,22.154264450073242,1.0,0.0,1
18,2.968367075776347e-17,2,0,0,0,0.0,26.24279022216797,21.191814422607422,1.0,0.0,1
19,4.786143538438479e-18,2,0,0,0,0.0,27.04657554626465,21.93781852722168,1.0,0.0,1
20,9.451929195823196e-19,2,0,0,0,0.0,29.59325122833252,24.085885047912598,1.0,0.0,1
21,2.638279897534752e-19,2,0,0,0,0.0,30.560405731201172,24.95323657989502,1.0,0.0,1
22,5.968393109140513e-20,2,0,0,0,0.0,27.090503692626953,22.198759078979492,1.0,0.0,1
23,1.872987322825808e-20,2,0,0,0,0.0,30.89155673980713,25.362841606140137,1.0,0.0,1
24,4.372343432016758e-21,2,0,0,0,0.0,28.45936393737793,23.429527282714844,1.0,0.0,1
25,1.9323528798542597e-21,2,0,0,0,0.0,35.52387237548828,29.275360107421875,1.0,0.0,1
26,7.465481733133844e-22,2,0,0,0,0.0,32.58499526977539,26.913074493408203,1.0,0.0,1
27,2.4779698754802423e-22,2,0,0,0,0.0,33.48432445526123,27.697306632995605,1.0,0.0,1
28,1.0960663133436338e-22,2,0,0,0,0.0,32.13802528381348,26.627793312072754,1.0,0.0,1
29,4.976846458215014e-23,2,0,0,0,0.0,36.86115837097168,30.56179714202881,1.0,0.0,1
30,2.821389742059899e-23,2,0,0,0,0.0,34.93190002441406,29.00371551513672,1.0,0.0,1
31,1.2836944972905177e-23,2,0,0,0,0.0,31.80352020263672,26.445472717285156,1.0,0.0,1
32,6.774548127420796e-24,2,0,0,0,0.0,35.708778381347656,29.705693244934082,1.0,0.0,1
33,4.0813067883756974e-24,2,0,0,0,0.0,36.04911422729492,30.01340675354004,1.0,0.0,1
34,2.8343273370068402e-24,2,0,0,0,0.0,37.99693489074707,31.653032302856445,1.0,0.0,1
35,1.515020779112342e-24,2,0,0,0,0.0,42.82977294921875,35.68663787841797,1.0,0.0,1
36,1.193589936949178e-24,2,0,0,0,0.0,33.215858459472656,27.723512649536133,1.0,0.0,1
37,5.537050685525083e-25,2,0,0,0,0.0,37.14482116699219,31.00559139251709,1.0,0.0,1
38,5.608099935991879e-25,2,0,0,0,0.0,39.93121528625488,33.338446617126465,1.0,0.0,1
39,3.437014208974912e-25,2,0,0,0,0.0,39.25163269042969,32.790236473083496,1.0,0.0,1
40,3.026021128621225e-25,2,0,0,0,0.0,42.0361213684082,35.121456146240234,1.0,0.0,1
41,2.363073763748999e-25,2,0,0,0,0.0,37.5294075012207,31.3834228515625,1.0,0.0,1
42,1.5041763082482687e-25,2,0,0,0,0.0,38.05955123901367,31.835725784301758,1.0,0.0,1
43,1.4192929026942248e-25,2,0,0,0,0.0,44.643049240112305,37.33143615722656,1.0,0.0,1
44,1.1801996393806335e-25,2,0,0,0,0.0,40.04715156555176,33.51268768310547,1.0,0.0,1
45,8.375406488655854e-26,2,0,0,0,0.0,34.59299087524414,28.97429656982422,1.0,0.0,1
46,8.417588360372218e-26,2,0,0,0,0.0,34.685791015625,29.06298828125,1.0,0.0,1
47,5.457979459209287e-26,2,0,0,0,0.0,36.50844383239746,30.649333953857422,1.0,0.0,1
48,4.73353705876814e-26,2,0,0,0,0.0,38.33112716674805,32.180477142333984,1.0,0.0,1
49,4.01006162923347e-26,2,0,0,0,0.0,38.795705795288086,32.57509899139404,1.0,0.0,1
