iteration,meta_loss,n_valid_tasks,n_skipped,n_skipped_this_iteration,n_skipped_cumulative,outer_grad_norm,support_loss_before_mean,support_loss_after_mean,query_pred_mean,query_pred_std,collapse_flag
1,9.935173034667969,2,0,0,0,95525.02755585819,0.864804208278656,4.232413738965988,0.3388504011719997,0.3815989308187884,0
2,2.5595951080322266,2,0,0,0,902.8559821057187,19.823755264282227,1.546398252248764,0.41507601939990896,0.3843703553788493,0
3,0.10931925475597382,2,0,0,0,79.28094390374905,20.05406093597412,1.4291399717330933,0.8981706365942955,0.01823417796414257,0
4,0.0026280884630978107,2,0,0,0,2.495200670342816,23.359015464782715,3.0699909925460815,0.9973746888777789,0.00018435948705913696,1
5,1.440344931324944e-06,2,0,0,0,0.0012218965495476935,15.312320232391357,8.173883438110352,0.9999985590577125,1.6015109214392004e-07,1
6,26.28685188293457,2,0,0,0,2256.8897142681435,15.417148113250732,13.284356117248535,4.495910832210195e-12,2.7557405407075278e-12,1
7,6.81724739074707,2,0,0,0,1762.6846254683298,4.454191207885742,2.6225098371505737,0.0011102846191007349,0.00024643366466278,1
8,0.01244574785232544,2,0,0,0,25.88407116535083,3.604658842086792,2.1685845851898193,0.9876629640074337,0.003796757685629678,1
9,13.057830810546875,2,0,0,0,2073.197993644514,12.853520393371582,5.124767065048218,2.1794065588665034e-06,4.83225873588448e-07,1
10,0.002147173974663019,2,0,0,0,2.233100898592074,16.202545642852783,3.615735650062561,0.9978466018250114,0.0005175466979366259,1
11,1.3495525763573823e-07,2,0,0,0,0.00011418549222502179,19.48772144317627,9.234853267669678,0.9999998682423642,3.65844017257521e-08,1
12,2.6486596249597483e-10,2,0,0,0,0.0,20.13492488861084,11.6095609664917,1.0,0.0,1
13,1.4914715512973076e-12,2,0,0,0,0.0,22.535828590393066,14.355952262878418,1.0,0.0,1
14,9.601987174118198e-14,2,0,0,0,0.0,28.022257804870605,17.85686445236206,1.0,0.0,1
15,1.8619884822358712e-15,2,0,0,0,0.0,26.97024631500244,17.88307762145996,1.0,0.0,1
16,6.149481034634392e-17,2,0,0,0,0.0,29.09144115447998,19.63738441467285,1.0,0.0,1
17,2.7378048729698487e-18,2,0,0,0,0.0,36.19261932373047,24.78031349182129,1.0,0.0,1
18,8.813486642130334e-20,2,0,0,0,0.0,34.88954448699951,24.412471771240234,1.0,0.0,1
19,5.477530239602195e-21,2,0,0,0,0.0,36.38154602050781,25.65420913696289,1.0,0.0,1
20,4.409009989814018e-22,2,0,0,0,0.0,40.21663284301758,28.5272274017334,1.0,0.0,1
21,5.330176626574781e-23,2,0,0,0,0.0,41.90616798400879,29.88487148284912,1.0,0.0,1
22,5.3661415052186215e-24,2,0,0,0,0.0,37.444129943847656,26.85017204284668,1.0,0.0,1
23,8.787459847369964e-25,2,0,0,0,0.0,42.99934005737305,30.89655113220215,1.0,0.0,1
24,1.029221214733856e-25,2,0,0,0,0.0,39.862403869628906,28.746240615844727,1.0,0.0,1
25,2.631057886750904e-26,2,0,0,0,0.0,50.035728454589844,36.12540054321289,1.0,0.0,1
26,5.42254589194366e-27,2,0,0,0,0.0,46.125587463378906,33.45126724243164,1.0,0.0,1
27,7.839156467545601e-28,2,0,0,0,0.0,47.61417007446289,34.734137535095215,1.0,0.0,1
28,1.8862997228097151e-28,2,0,0,0,0.0,45.90200424194336,33.59845542907715,1.0,0.0,1
29,5.452446098775018e-29,2,0,0,0,0.0,52.86098289489746,38.709007263183594,1.0,0.0,1
30,2.0225413612451603e-29,2,0,0,0,0.0,50.27667808532715,36.88739013671875,1.0,0.0,1
31,4.387749519642028e-30,2,0,0,0,0.0,45.92416763305664,33.89377212524414,1.0,0.0,1
32,1.5595904213376523e-30,2,0,0,0,0.0,51.715810775756836,38.20184898376465,1.0,0.0,1
33,6.660694236109521e-31,2,0,0,0,0.0,52.348039627075195,38.69775199890137,1.0,0.0,1
34,3.542751659183373e-31,2,0,0,0,0.0,55.30954170227051,40.90213203430176,1.0,0.0,1
35,1.4207781742400096e-31,2,0,0,0,0.0,62.48023223876953,46.199195861816406,1.0,0.0,1
36,8.390703361550855e-32,2,0,0,0,0.0,48.55093765258789,35.986812591552734,1.0,0.0,1
37,2.869773737723203e-32,2,0,0,0,0.0,54.39068412780762,40.30598831176758,1.0,0.0,1
38,2.560520569678648e-32,2,0,0,0,0.0,58.565216064453125,43.4005184173584,1.0,0.0,1
39,1.2335220417034543e-32,2,0,0,0,0.0,57.65275192260742,42.752206802368164,1.0,0.0,1
40,9.439553918308984e-33,2,0,0,0,0.0,61.82447624206543,45.84540557861328,1.0,0.0,1
41,6.1015070183827495e-33,2,0,0,0,0.0,55.2625617980957,41.025917053222656,1.0,0.0,1
42,3.191252267421501e-33,2,0,0,0,0.0,56.104278564453125,41.66104507446289,1.0,0.0,1
43,2.78251928998716e-33,2,0,0,0,0.0,65.87422180175781,48.88582992553711,1.0,0.0,1
44,2.000608733152991e-33,2,0,0,0,0.0,59.145856857299805,43.93355369567871,1.0,0.0,1
45,1.1874834748457133e-33,2,0,0,0,0.0,51.13261413574219,38.02486801147461,1.0,0.0,1
46,1.1284247101149822e-33,2,0,0,0,0.0,51.309059143066406,38.16401672363281,1.0,0.0,1
47,7.175359862438288e-34,2,0,0,0,0.0,54.043312072753906,40.19367218017578,1.0,0.0,1
48,5.7348025557651135e-34,2,0,0,0,0.0,56.777854919433594,42.22367858886719,1.0,0.0,1
49,4.434570805576311e-34,2,0,0,0,0.0,57.499507904052734,42.76374816894531,1.0,0.0,1
50,3.752024602546158e-34,2,0,0,0,0.0,60.22787857055664,44.78900718688965,1.0,0.0,1
51,4.003432538473313e-34,2,0,0,0,0.0,57.179466247558594,42.54076385498047,1.0,0.0,1
52,2.696342513431432e-34,2,0,0,0,0.0,52.081809997558594,38.77260971069336,1.0,0.0,1
53,2.3154456095665477e-34,2,0,0,0,0.0,61.95565605163574,46.08218193054199,1.0,0.0,1
54,1.6160017900376941e-34,2,0,0,0,0.0,57.48191452026367,42.77891159057617,1.0,0.0,1
55,1.814413986608217e-34,2,0,0,0,0.0,63.96112823486328,47.5776481628418,1.0,0.0,1
56,2.070537790057455e-34,2,0,0,0,0.0,52.4005012512207,39.0232048034668,1.0,0.0,1
57,1.8673639230111405e-34,2,0,0,0,0.0,64.92283058166504,48.295732498168945,1.0,0.0,1
58,1.7140172411152672e-34,2,0,0,0,0.0,55.14557456970215,41.061628341674805,1.0,0.0,1
59,1.249179249930873e-34,2,0,0,0,0.0,52.57109451293945,39.15737533569336,1.0,0.0,1
60,1.4637784858485734e-34,2,0,0,0,0.0,62.48371696472168,46.49813652038574,1.0,0.0,1
61,1.375538578953908e-34,2,0,0,0,0.0,65.16716766357422,48.48807907104492,1.0,0.0,1
62,1.3000201841645283e-34,2,0,0,0,0.0,55.33385467529297,41.2096004486084,1.0,0.0,1
63,1.195547320174606e-34,2,0,0,0,0.0,68.4808464050293,50.94610595703125,1.0,0.0,1
64,9.235624359923659e-35,2,0,0,0,0.0,52.76568603515625,39.310428619384766,1.0,0.0,1
65,1.1112051413256262e-34,2,0,0,0,0.0,62.69350814819336,46.66341209411621,1.0,0.0,1
66,8.724566137494799e-35,2,0,0,0,0.0,58.10276412963867,43.266517639160156,1.0,0.0,1
67,8.170660342417875e-35,2,0,0,0,0.0,61.3582649230957,45.67862319946289,1.0,0.0,1
68,8.062094714747302e-35,2,0,0,0,0.0,61.38327217102051,45.69824409484863,1.0,0.0,1
69,7.700876435793522e-35,2,0,0,0,0.0,55.52978515625,41.36358642578125,1.0,0.0,1
70,7.308241233604093e-35,2,0,0,0,0.0,58.7813606262207,43.77256965637207,1.0,0.0,1
71,8.851312323545399e-35,2,0,0,0,0.0,64.67913818359375,48.14196014404297,1.0,0.0,1
72,8.807475223426233e-35,2,0,0,0,0.0,58.815399169921875,43.79929542541504,1.0,0.0,1
73,5.231274729226838e-35,2,0,0,0,0.0,58.83008003234863,43.81081771850586,1.0,0.0,1
74,8.674951436723593e-35,2,0,0,0,0.0,55.60699653625488,41.424251556396484,1.0,0.0,1
75,8.519609399084947e-35,2,0,0,0,0.0,52.96989822387695,39.470977783203125,1.0,0.0,1
76,6.577911414801754e-35,2,0,0,0,0.0,52.979736328125,39.47871398925781,1.0,0.0,1
77,6.655096853435142e-35,2,0,0,0,0.0,58.87627983093262,43.847084045410156,1.0,0.0,1
78,6.627965204038965e-35,2,0,0,0,0.0,58.2963981628418,43.418609619140625,1.0,0.0,1
79,6.387693125581558e-35,2,0,0,0,0.0,55.65424919128418,41.46137619018555,1.0,0.0,1
80,7.679357657128152e-35,2,0,0,0,0.0,64.79082489013672,48.22956848144531,1.0,0.0,1
81,6.442300233512653e-35,2,0,0,0,0.0,58.318359375,43.435855865478516,1.0,0.0,1
82,7.92555943877811e-35,2,0,0,0,0.0,58.3243408203125,43.44055938720703,1.0,0.0,1
83,6.140664824466178e-35,2,0,0,0,0.0,53.02705383300781,39.515907287597656,1.0,0.0,1
84,6.128956372677885e-35,2,0,0,0,0.0,53.03152084350586,39.51942443847656,1.0,0.0,1
85,5.886476224509729e-35,2,0,0,0,0.0,58.928409576416016,43.88801383972168,1.0,0.0,1
86,6.202374260081391e-35,2,0,0,0,0.0,58.3431510925293,43.45533752441406,1.0,0.0,1
87,4.5023023538520847e-35,2,0,0,0,0.0,58.9361572265625,43.89410400390625,1.0,0.0,1
88,4.369502773675045e-35,2,0,0,0,0.0,53.04554748535156,39.53044128417969,1.0,0.0,1
89,5.864615932593021e-35,2,0,0,0,0.0,62.99481773376465,46.9003849029541,1.0,0.0,1
90,7.533524037172963e-35,2,0,0,0,0.0,55.703264236450195,41.49989318847656,1.0,0.0,1
91,4.4111662423945217e-35,2,0,0,0,0.0,58.94772720336914,43.90318489074707,1.0,0.0,1
92,7.4975354281442e-35,2,0,0,0,0.0,58.3604736328125,43.46894073486328,1.0,0.0,1
93,7.48193429926251e-35,2,0,0,0,0.0,58.36247634887695,43.47052001953125,1.0,0.0,1
94,5.89495780655177e-35,2,0,0,0,0.0,55.71138381958008,41.50626564025879,1.0,0.0,1
95,7.406777277150512e-35,2,0,0,0,0.0,53.0599479675293,39.5417594909668,1.0,0.0,1
96,7.316727981392794e-35,2,0,0,0,0.0,63.01030158996582,46.91252136230469,1.0,0.0,1
97,7.242299329559699e-35,2,0,0,0,0.0,61.61149787902832,45.87736892700195,1.0,0.0,1
98,5.829674822192309e-35,2,0,0,0,0.0,55.716819763183594,41.51054000854492,1.0,0.0,1
99,5.901717473040849e-35,2,0,0,0,0.0,61.61394691467285,45.879295349121094,1.0,0.0,1
100,7.077246262174196e-35,2,0,0,0,0.0,64.8578872680664,48.28217315673828,1.0,0.0,1
101,5.757441612689241e-35,2,0,0,0,0.0,53.066368103027344,39.546810150146484,1.0,0.0,1
102,5.643060502224463e-35,2,0,0,0,0.0,58.963449478149414,43.9155330657959,1.0,0.0,1
103,7.348012891102715e-35,2,0,0,0,0.0,55.72117233276367,41.51396560668945,1.0,0.0,1
104,5.759414927912936e-35,2,0,0,0,0.0,55.7218132019043,41.51446723937988,1.0,0.0,1
105,5.79917051419973e-35,2,0,0,0,0.0,55.72238540649414,41.514923095703125,1.0,0.0,1
106,7.32006218387518e-35,2,0,0,0,0.0,58.37638473510742,43.4814338684082,1.0,0.0,1
107,5.723926248366382e-35,2,0,0,0,0.0,64.86319732666016,48.28633499145508,1.0,0.0,1
108,7.232743272212609e-35,2,0,0,0,0.0,63.020978927612305,46.92090606689453,1.0,0.0,1
109,7.285920616262893e-35,2,0,0,0,0.0,55.72420120239258,41.5163516998291,1.0,0.0,1
110,5.569634005243192e-35,2,0,0,0,0.0,58.96778106689453,43.91893005371094,1.0,0.0,1
111,5.719211643582371e-35,2,0,0,0,0.0,53.07130432128906,39.55069351196289,1.0,0.0,1
112,7.303120256749583e-35,2,0,0,0,0.0,53.071571350097656,39.550907135009766,1.0,0.0,1
113,7.215603324798422e-35,2,0,0,0,0.0,63.022789001464844,46.92232894897461,1.0,0.0,1
114,5.585930214036428e-35,2,0,0,0,0.0,58.968936920166016,43.91983985900879,1.0,0.0,1
115,5.769272320481794e-35,2,0,0,0,0.0,55.72585487365723,41.51765251159668,1.0,0.0,1
116,7.141717650336361e-35,2,0,0,0,0.0,61.622982025146484,45.88640022277832,1.0,0.0,1
117,5.581175431222848e-35,2,0,0,0,0.0,58.96954345703125,43.92031478881836,1.0,0.0,1
118,5.688909947653191e-35,2,0,0,0,0.0,53.0727424621582,39.55181884765625,1.0,0.0,1
119,7.153038671125237e-35,2,0,0,0,0.0,61.62350082397461,45.88679885864258,1.0,0.0,1
120,7.112239030041497e-35,2,0,0,0,0.0,58.96998405456543,43.92066192626953,1.0,0.0,1
121,7.212792584644136e-35,2,0,0,0,0.0,63.02430725097656,46.92352104187012,1.0,0.0,1
122,5.589650125602677e-35,2,0,0,0,0.0,58.970218658447266,43.92084503173828,1.0,0.0,1
123,7.138350731458468e-35,2,0,0,0,0.0,61.62398147583008,45.88717842102051,1.0,0.0,1
124,4.182372166027236e-35,2,0,0,0,0.0,53.0733642578125,39.55231475830078,1.0,0.0,1
125,4.1703798851586296e-35,2,0,0,0,0.0,53.07344055175781,39.552371978759766,1.0,0.0,1
126,4.1409216408644754e-35,2,0,0,0,0.0,53.073509216308594,39.552425384521484,1.0,0.0,1
127,7.105896641088085e-35,2,0,0,0,0.0,58.97062683105469,43.92116928100586,1.0,0.0,1
128,7.087828007219e-35,2,0,0,0,0.0,58.97067832946777,43.92120933532715,1.0,0.0,1
129,5.558043791656203e-35,2,0,0,0,0.0,58.97073936462402,43.921255111694336,1.0,0.0,1
130,5.720783178510375e-35,2,0,0,0,0.0,53.073707580566406,39.552581787109375,1.0,0.0,1
131,7.298009611388391e-35,2,0,0,0,0.0,58.381126403808594,43.48516082763672,1.0,0.0,1
132,5.828701365933034e-35,2,0,0,0,0.0,61.62456130981445,45.88763427734375,1.0,0.0,1
133,7.141517908132217e-35,2,0,0,0,0.0,61.624603271484375,45.887664794921875,1.0,0.0,1
134,5.87434016369245e-35,2,0,0,0,0.0,55.727542877197266,41.518972396850586,1.0,0.0,1
135,5.696276876360615e-35,2,0,0,0,0.0,53.073875427246094,39.55271911621094,1.0,0.0,1
136,5.646146174895372e-35,2,0,0,0,0.0,63.0252628326416,46.92426109313965,1.0,0.0,1
137,7.125114366602847e-35,2,0,0,0,0.0,61.62472915649414,45.887760162353516,1.0,0.0,1
138,4.178598588092919e-35,2,0,0,0,0.0,53.07394027709961,39.55276870727539,1.0,0.0,1
139,5.736077232451786e-35,2,0,0,0,0.0,53.07395935058594,39.55278015136719,1.0,0.0,1
140,4.3042097448081917e-35,2,0,0,0,0.0,55.72766876220703,41.51906967163086,1.0,0.0,1
141,4.256259275418924e-35,2,0,0,0,0.0,58.971086502075195,43.92152786254883,1.0,0.0,1
142,5.816136548143068e-35,2,0,0,0,0.0,61.62479782104492,45.8878231048584,1.0,0.0,1
143,7.266609907308272e-35,2,0,0,0,0.0,55.72769737243652,41.51909637451172,1.0,0.0,1
144,7.26403392164104e-35,2,0,0,0,0.0,53.07400894165039,39.552818298339844,1.0,0.0,1
145,5.874478490908538e-35,2,0,0,0,0.0,58.38140869140625,43.485389709472656,1.0,0.0,1
146,5.874436590963416e-35,2,0,0,0,0.0,58.38142013549805,43.48539733886719,1.0,0.0,1
147,7.103282773278688e-35,2,0,0,0,0.0,61.62483787536621,45.88784980773926,1.0,0.0,1
148,5.724260873955508e-35,2,0,0,0,0.0,55.727731704711914,41.51911926269531,1.0,0.0,1
149,5.799731284698145e-35,2,0,0,0,0.0,65.67911148071289,48.89067268371582,1.0,0.0,1
150,5.694850556310911e-35,2,0,0,0,0.0,53.074039459228516,39.55284118652344,1.0,0.0,1
151,7.113805973194692e-35,2,0,0,0,0.0,61.62485885620117,45.88786697387695,1.0,0.0,1
152,5.874233978900017e-35,2,0,0,0,0.0,58.381446838378906,43.48542022705078,1.0,0.0,1
153,5.554747471315982e-35,2,0,0,0,0.0,58.97115516662598,43.92158508300781,1.0,0.0,1
154,7.265290346022852e-35,2,0,0,0,0.0,55.72774696350098,41.519134521484375,1.0,0.0,1
155,5.677294479304758e-35,2,0,0,0,0.0,53.07404708862305,39.55284881591797,1.0,0.0,1
156,7.234624177968295e-35,2,0,0,0,0.0,53.07404708862305,39.552852630615234,1.0,0.0,1
157,4.2847911291455845e-35,2,0,0,0,0.0,58.97116279602051,43.921586990356445,1.0,0.0,1
158,5.677273242346272e-35,2,0,0,0,0.0,53.07405090332031,39.552852630615234,1.0,0.0,1
159,7.31078507684767e-35,2,0,0,0,0.0,58.38145065307617,43.48542022705078,1.0,0.0,1
160,7.275063938701466e-35,2,0,0,0,0.0,53.07405090332031,39.552852630615234,1.0,0.0,1
161,5.753070817043972e-35,2,0,0,0,0.0,55.72775459289551,41.51913833618164,1.0,0.0,1
162,7.173178769404536e-35,2,0,0,0,0.0,63.02543640136719,46.92440223693848,1.0,0.0,1
163,7.2460783602266e-35,2,0,0,0,0.0,53.07405090332031,39.552852630615234,1.0,0.0,1
164,4.255784313712232e-35,2,0,0,0,0.0,58.971168518066406,43.92158889770508,1.0,0.0,1
165,7.128273507670682e-35,2,0,0,0,0.0,61.6248722076416,45.88787651062012,1.0,0.0,1
166,5.863472580665854e-35,2,0,0,0,0.0,58.3814582824707,43.48542404174805,1.0,0.0,1
167,6.959016096476696e-35,2,0,0,0,0.0,64.8682861328125,48.29032897949219,1.0,0.0,1
168,7.125783617781098e-35,2,0,0,0,0.0,58.971168518066406,43.92159080505371,1.0,0.0,1
169,5.554675724834608e-35,2,0,0,0,0.0,58.971168518066406,43.92159080505371,1.0,0.0,1
170,6.969066343587486e-35,2,0,0,0,0.0,64.8682861328125,48.29032897949219,1.0,0.0,1
171,6.999510384535711e-35,2,0,0,0,0.0,64.8682861328125,48.29032897949219,1.0,0.0,1
172,7.266038231344688e-35,2,0,0,0,0.0,55.72775459289551,41.51913833618164,1.0,0.0,1
173,5.553227019882716e-35,2,0,0,0,0.0,58.971168518066406,43.92159080505371,1.0,0.0,1
174,5.843496638335938e-35,2,0,0,0,0.0,55.72775459289551,41.51913833618164,1.0,0.0,1
175,7.108298139312617e-35,2,0,0,0,0.0,58.971168518066406,43.92159080505371,1.0,0.0,1
176,5.633316182110249e-35,2,0,0,0,0.0,63.02543640136719,46.92440414428711,1.0,0.0,1
177,7.292896670139795e-35,2,0,0,0,0.0,55.72775459289551,41.51913833618164,1.0,0.0,1
178,5.661566502644e-35,2,0,0,0,0.0,64.8682861328125,48.29032897949219,1.0,0.0,1
179,7.155126206747278e-35,2,0,0,0,0.0,61.6248722076416,45.88787651062012,1.0,0.0,1
180,4.1488869352265537e-35,2,0,0,0,0.0,53.07405090332031,39.552852630615234,1.0,0.0,1
181,7.190649324604891e-35,2,0,0,0,0.0,63.02543640136719,46.92440414428711,1.0,0.0,1
182,7.173164994080112e-35,2,0,0,0,0.0,63.02543640136719,46.92440414428711,1.0,0.0,1
183,5.661566502644e-35,2,0,0,0,0.0,64.8682861328125,48.29032897949219,1.0,0.0,1
184,7.110560162377358e-35,2,0,0,0,0.0,58.971168518066406,43.92159080505371,1.0,0.0,1
185,5.795627959935436e-35,2,0,0,0,0.0,58.971168518066406,43.92159080505371,1.0,0.0,1
186,6.9489624055348e-35,2,0,0,0,0.0,64.8682861328125,48.29032897949219,1.0,0.0,1
187,7.219993061514774e-35,2,0,0,0,0.0,65.67914009094238,48.890689849853516,1.0,0.0,1
188,5.813112290460215e-35,2,0,0,0,0.0,58.971168518066406,43.92159080505371,1.0,0.0,1
189,5.719371207756946e-35,2,0,0,0,0.0,55.72775459289551,41.51913833618164,1.0,0.0,1
190,7.093075831852579e-35,2,0,0,0,0.0,58.971168518066406,43.92159080505371,1.0,0.0,1
191,7.100508193351015e-35,2,0,0,0,0.0,58.971168518066406,43.92159080505371,1.0,0.0,1
192,7.137281421900079e-35,2,0,0,0,0.0,58.971168518066406,43.92159080505371,1.0,0.0,1
193,7.283880720304484e-35,2,0,0,0,0.0,58.3814582824707,43.48542404174805,1.0,0.0,1
194,5.644815134172932e-35,2,0,0,0,0.0,63.02543640136719,46.92440414428711,1.0,0.0,1
195,7.113042590632879e-35,2,0,0,0,0.0,61.6248722076416,45.88787651062012,1.0,0.0,1
196,5.735202499350882e-35,2,0,0,0,0.0,53.07405090332031,39.552852630615234,1.0,0.0,1
197,5.70621921676342e-35,2,0,0,0,0.0,53.07405090332031,39.552852630615234,1.0,0.0,1
198,4.4220392781537023e-35,2,0,0,0,0.0,61.6248722076416,45.88787651062012,1.0,0.0,1
199,5.824611242522898e-35,2,0,0,0,0.0,58.971168518066406,43.92159080505371,1.0,0.0,1
200,7.155126206747278e-35,2,0,0,0,0.0,61.6248722076416,45.88787651062012,1.0,0.0,1
