model,gold_auroc,gold_ap,gold_logloss,gold_brier,gold_ece,gold_f1,gold_accuracy,gold_pred_mean,gold_true_mean,n_eval_rows,n_positive,precision_at_5,recall_at_5,ndcg_at_5,precision_at_10,recall_at_10,ndcg_at_10,precision_at_20,recall_at_20,ndcg_at_20,episode_idx
MAML,0.5714285714285714,0.9379251700680272,2.5926577206810375,0.7859600363708024,0.8229800374247134,0.0,0.125,0.05201996257528663,0.875,8,7,0.8,0.5714285714285714,0.8687949224876581,0.875,1.0,0.98037714746389,0.875,1.0,0.98037714746389,0
MAML,0.7,0.9697979797979798,3.5323815443093904,0.8718909838782526,0.8885446566749703,0.0,0.09090909090909091,0.020546252415938812,0.9090909090909091,11,10,1.0,0.5,0.9999999999999999,0.9,0.9,0.9305687780632227,0.9090909090909091,1.0,0.9919618236679693,1
MAML,0.5,0.8888888888888888,2.0467423132141787,0.11111110888888898,0.11111110111111111,0.9411764705882353,0.8888888888888888,0.99999999,0.8888888888888888,9,8,1.0,0.625,0.8888888888888886,0.8888888888888888,1.0,0.956571858415452,0.8888888888888888,1.0,0.956571858415452,2
MAML,0.5,0.7692307692307693,4.250926332060218,0.2307692261538462,0.23076922076923045,0.8695652173913043,0.7692307692307693,0.9999999899999997,0.7692307692307693,13,10,0.8,0.4,0.7692307692307692,0.7,0.7,0.7692307692307693,0.7692307692307693,1.0,0.9066747987826879,3
MAML,0.5,0.9166666666666666,16.885624016123007,0.9166666483333333,0.9166666566666666,0.0,0.08333333333333333,9.999999999999999e-09,0.9166666666666666,12,11,1.0,0.45454545454545453,0.9166666666666664,1.0,0.9090909090909091,0.9166666666666666,0.9166666666666666,1.0,0.9680338394848735,4
MAML,0.5,0.7,5.526204228678283,0.2999999940000001,0.2999999899999999,0.8235294117647058,0.7,0.9999999899999998,0.7,10,7,0.4,0.2857142857142857,0.6999999999999998,0.7,1.0,0.874241850462545,0.7,1.0,0.874241850462545,5
MAML,1.0,1.0,8.800833769898158,0.5714283369647625,0.5714283731661486,0.0,0.42857142857142855,1.9826242286009282e-07,0.5714285714285714,7,4,0.8,1.0,0.9999999999999998,0.5714285714285714,1.0,0.9999999999999998,0.5714285714285714,1.0,0.9999999999999998,6
MAML,1.0,1.0,2.071801944828837,0.19998731706369313,0.19996948242187496,0.8888888888888888,0.8,0.999969482421875,0.8,5,4,0.8,1.0,0.9999999999999998,0.8,1.0,0.9999999999999998,0.8,1.0,0.9999999999999998,7
MAML,0.5,0.7692307692307693,4.250926332060218,0.2307692261538462,0.23076922076923045,0.8695652173913043,0.7692307692307693,0.9999999899999997,0.7692307692307693,13,10,0.8,0.4,0.7692307692307692,0.7,0.7,0.7692307692307693,0.7692307692307693,1.0,0.9066747987826879,8
MAML,0.14285714285714285,0.8260204081632654,1.1252593945145284,0.1249692001292928,0.12487459182739258,0.9333333333333333,0.875,0.9998745918273926,0.875,8,7,0.8,0.5714285714285714,0.7860137352654724,0.875,1.0,0.9132861715058804,0.875,1.0,0.9132861715058804,9
MAML,0.5,0.7692307692307693,4.250926332060218,0.2307692261538462,0.23076922076923045,0.8695652173913043,0.7692307692307693,0.9999999899999997,0.7692307692307693,13,10,0.8,0.4,0.7692307692307692,0.7,0.7,0.7692307692307693,0.7692307692307693,1.0,0.9066747987826879,10
MAML,0.5,0.7,5.526204228678283,0.2999999940000001,0.2999999899999999,0.8235294117647058,0.7,0.9999999899999998,0.7,10,7,0.4,0.2857142857142857,0.6999999999999998,0.7,1.0,0.874241850462545,0.7,1.0,0.874241850462545,11
MAML,0.5714285714285714,0.7428571428571429,12.880726854597693,0.6999999857052043,0.699999989852602,0.0,0.3,1.014739791001739e-08,0.7,10,7,1.0,0.7142857142857143,0.7797200684245386,0.7,1.0,0.9242367304595684,0.7,1.0,0.9242367304595684,12
MAML,0.7,0.9697979797979798,3.525665968949204,0.8715865664834531,0.8883930873125792,0.0,0.09090909090909091,0.020697821778329937,0.9090909090909091,11,10,1.0,0.5,0.9999999999999999,0.9,0.9,0.9305687780632227,0.9090909090909091,1.0,0.9919618236679693,13
MAML,0.5,0.5454545454545454,10.047644046701292,0.5454545345454546,0.5454545354545454,0.0,0.45454545454545453,9.999999999999999e-09,0.5454545454545454,11,6,0.8,0.6666666666666666,0.5454545454545453,0.5,0.8333333333333334,0.7499411026803298,0.5454545454545454,1.0,0.7959822709980572,14
MAML,0.5428571428571428,0.6964646464646465,9.941435221849263,0.5833332859585197,0.583333293504404,0.0,0.4166666666666667,3.9828929339809825e-08,0.5833333333333334,12,7,0.6,0.42857142857142855,0.6548086577531306,0.6,0.8571428571428571,0.7908133184148545,0.5833333333333334,1.0,0.8674881324077474,15
MAML,0.6428571428571428,0.7857142857142856,12.875092948668794,0.6999999855892673,0.6999999897946336,0.0,0.3,1.020536637840496e-08,0.7,10,7,1.0,0.7142857142857143,0.8324299262530537,0.7,1.0,0.9486870769835783,0.7,1.0,0.9486870769835783,16
MAML,0.5,0.7692307692307693,4.250926332060218,0.2307692261538462,0.23076922076923045,0.8695652173913043,0.7692307692307693,0.9999999899999997,0.7692307692307693,13,10,0.8,0.4,0.7692307692307692,0.7,0.7,0.7692307692307693,0.7692307692307693,1.0,0.9066747987826879,17
MAML,0.5,0.4444444444444444,8.186969225089943,0.4444444355555557,0.4444444344444444,0.0,0.5555555555555556,1e-08,0.4444444444444444,9,4,0.0,0.0,0.5115642747679133,0.4444444444444444,1.0,0.7381643467538104,0.4444444444444444,1.0,0.7381643467538104,18
MAML,0.5714285714285714,0.7428571428571429,12.880726854597693,0.6999999857052043,0.699999989852602,0.0,0.3,1.014739791001739e-08,0.7,10,7,1.0,0.7142857142857143,0.7797200684245386,0.7,1.0,0.9242367304595684,0.7,1.0,0.9242367304595684,19
