iteration,meta_loss,n_valid_tasks,n_skipped,n_skipped_this_iteration,n_skipped_cumulative
1,12.876679420471191,4,0,0,0
2,25.598098754882812,4,0,0,0
3,8.70872974395752,4,0,0,0
4,64.36492919921875,4,0,0,0
5,25.497629165649414,4,0,0,0
6,13.739805221557617,4,0,0,0
7,8.403669357299805,4,0,0,0
8,19.1109676361084,4,0,0,0
9,14.275839805603027,4,0,0,0
10,12.53843879699707,4,0,0,0
11,8.240645408630371,4,0,0,0
12,8.075020790100098,4,0,0,0
13,3.1363742351531982,4,0,0,0
14,2.809248924255371,4,0,0,0
15,1.5185773372650146,4,0,0,0
16,6.605852127075195,4,0,0,0
17,13.006660461425781,4,0,0,0
18,12.53721809387207,4,0,0,0
19,7.877155303955078,4,0,0,0
20,2.0471131801605225,4,0,0,0
21,3.4199299812316895,4,0,0,0
22,11.75059986114502,4,0,0,0
23,5.207707405090332,4,0,0,0
24,4.061338424682617,4,0,0,0
25,2.788027048110962,4,0,0,0
26,6.873193740844727,4,0,0,0
27,0.8541139364242554,4,0,0,0
28,2.339825391769409,4,0,0,0
29,2.8533899784088135,4,0,0,0
30,1.3235281705856323,4,0,0,0
31,4.458030700683594,4,0,0,0
32,11.246999740600586,4,0,0,0
33,2.003995418548584,4,0,0,0
34,5.538344383239746,4,0,0,0
35,7.270899772644043,4,0,0,0
36,3.8559470176696777,4,0,0,0
37,7.538106918334961,4,0,0,0
38,4.710239887237549,4,0,0,0
39,3.373521566390991,4,0,0,0
40,3.4452664852142334,4,0,0,0
41,2.369657039642334,4,0,0,0
42,0.8046278953552246,4,0,0,0
43,1.8754212856292725,4,0,0,0
44,1.148816466331482,4,0,0,0
45,1.2657864093780518,4,0,0,0
46,1.4211206436157227,4,0,0,0
47,9.0927095413208,4,0,0,0
48,2.1078381538391113,4,0,0,0
49,1.1044834852218628,4,0,0,0
50,1.362648367881775,4,0,0,0
51,1.1845506429672241,4,0,0,0
52,0.8316745162010193,4,0,0,0
53,6.561684608459473,4,0,0,0
54,19.38792610168457,4,0,0,0
55,0.8451768159866333,4,0,0,0
56,2.566101551055908,4,0,0,0
57,1.9171960353851318,4,0,0,0
58,4.112914085388184,4,0,0,0
59,0.8665726184844971,4,0,0,0
60,2.708848237991333,4,0,0,0
61,1.7817877531051636,4,0,0,0
62,1.6792707443237305,4,0,0,0
63,1.7982765436172485,4,0,0,0
64,0.6524357795715332,4,0,0,0
65,2.5020642280578613,4,0,0,0
