real_k_pos,real_k_neg,synthetic_k_pos,synthetic_k_neg,effective_k_pos,effective_k_neg,n_real_support_rows,n_synthetic_support_rows,n_effective_support_rows,n_real_support_contracts,n_synthetic_support_contracts,episode_idx,augmentation_method,synthetic_proportion,gen_skip_reason,n_query_rows,n_query_pos,n_query_neg,n_query_synthetic_rows
6,8,0,0,6,8,14,0,14,4,0,0,none,0.0,,8,7,1,0
3,8,0,0,3,8,11,0,11,4,0,1,none,0.0,,11,10,1,0
5,8,0,0,5,8,13,0,13,4,0,2,none,0.0,,9,8,1,0
3,6,0,0,3,6,9,0,9,4,0,3,none,0.0,,13,10,3,0
2,8,0,0,2,8,10,0,10,4,0,4,none,0.0,,12,11,1,0
6,6,0,0,6,6,12,0,12,4,0,5,none,0.0,,10,7,3,0
9,6,0,0,9,6,15,0,15,4,0,6,none,0.0,,7,4,3,0
9,8,0,0,9,8,17,0,17,4,0,7,none,0.0,,5,4,1,0
3,6,0,0,3,6,9,0,9,4,0,8,none,0.0,,13,10,3,0
6,8,0,0,6,8,14,0,14,4,0,9,none,0.0,,8,7,1,0
3,6,0,0,3,6,9,0,9,4,0,10,none,0.0,,13,10,3,0
6,6,0,0,6,6,12,0,12,4,0,11,none,0.0,,10,7,3,0
6,6,0,0,6,6,12,0,12,4,0,12,none,0.0,,10,7,3,0
3,8,0,0,3,8,11,0,11,4,0,13,none,0.0,,11,10,1,0
7,4,0,0,7,4,11,0,11,4,0,14,none,0.0,,11,6,5,0
6,4,0,0,6,4,10,0,10,4,0,15,none,0.0,,12,7,5,0
6,6,0,0,6,6,12,0,12,4,0,16,none,0.0,,10,7,3,0
3,6,0,0,3,6,9,0,9,4,0,17,none,0.0,,13,10,3,0
9,4,0,0,9,4,13,0,13,4,0,18,none,0.0,,9,4,5,0
6,6,0,0,6,6,12,0,12,4,0,19,none,0.0,,10,7,3,0
