model,gold_auroc,gold_ap,gold_logloss,gold_brier,gold_ece,gold_f1,gold_accuracy,gold_pred_mean,gold_true_mean,n_eval_rows,n_positive,precision_at_5,recall_at_5,ndcg_at_5,precision_at_10,recall_at_10,ndcg_at_10,precision_at_20,recall_at_20,ndcg_at_20,episode_idx
ZERO_SHOT,0.7142857142857143,0.9617346938775511,1.6780381132126367,0.5549603795295234,0.6769783962517977,0.0,0.125,0.19802160374820232,0.875,8,7,1.0,0.7142857142857143,0.9999999999999999,0.875,1.0,0.988800903144152,0.875,1.0,0.988800903144152,0
ZERO_SHOT,0.8,0.9809090909090908,1.5135274667872012,0.5274513892539527,0.6774554510008205,0.0,0.09090909090909091,0.2316354580900886,0.9090909090909091,11,10,1.0,0.5,0.9999999999999999,0.9,0.9,0.933745776545611,0.9090909090909091,1.0,0.9951388221503574,1
ZERO_SHOT,0.625,0.9526289682539683,2.057203839990952,0.6075427303737347,0.714801410627034,0.0,0.1111111111111111,0.17408747826185492,0.8888888888888888,9,8,1.0,0.625,0.9999999999999999,0.8888888888888888,1.0,0.9860433320650158,0.8888888888888888,1.0,0.9860433320650158,2
ZERO_SHOT,0.8,0.951923076923077,1.3278290229414897,0.4556079750314723,0.531507480602998,0.0,0.23076923076923078,0.23772328862777123,0.7692307692307693,13,10,1.0,0.5,0.9999999999999999,0.8,0.8,0.8701249883466594,0.7692307692307693,1.0,0.9874091811594071,3
ZERO_SHOT,0.7272727272727273,0.9750688705234161,1.8882750150666363,0.5964918019872975,0.7241397026615838,0.0,0.08333333333333333,0.19252696400508285,0.9166666666666666,12,11,1.0,0.45454545454545453,0.9999999999999999,0.9,0.8181818181818182,0.933745776545611,0.9166666666666666,1.0,0.9936149659606206,4
ZERO_SHOT,0.5714285714285714,0.8559523809523808,1.4037280069281244,0.45606214298518466,0.48734144568443305,0.0,0.3,0.21265855431556702,0.7,10,7,0.8,0.5714285714285714,0.8687949224876581,0.7,1.0,0.9530418785472458,0.7,1.0,0.9530418785472458,5
ZERO_SHOT,0.25,0.6178571428571429,1.518950911205515,0.43069990395425284,0.567806656605431,0.0,0.42857142857142855,0.17945478670299053,0.5714285714285714,7,4,0.4,0.5,0.5413996682199069,0.5714285714285714,1.0,0.8105825310613832,0.5714285714285714,1.0,0.8105825310613832,6
ZERO_SHOT,0.75,0.95,2.003936242971691,0.578792186812822,0.6572458412498237,0.0,0.2,0.14275415875017644,0.8,5,4,0.8,1.0,0.9828920819566876,0.8,1.0,0.9828920819566876,0.8,1.0,0.9828920819566876,7
ZERO_SHOT,0.7,0.9246503496503496,1.3985958223201782,0.48081834464121564,0.5484521687030792,0.0,0.23076923076923078,0.22077860052769,0.7692307692307693,13,10,1.0,0.5,0.9999999999999999,0.7,0.7,0.8006937664098821,0.7692307692307693,1.0,0.9793710048273764,8
ZERO_SHOT,0.8571428571428571,0.9821428571428572,1.7705183544674408,0.5729972480685084,0.6928366178181022,0.0,0.125,0.18216338218189776,0.875,8,7,1.0,0.7142857142857143,0.9999999999999999,0.875,1.0,0.9950883841893562,0.875,1.0,0.9950883841893562,9
ZERO_SHOT,0.7,0.9246503496503496,1.3985958223201782,0.48081834464121564,0.5484521687030792,0.0,0.23076923076923078,0.22077860052769,0.7692307692307693,13,10,1.0,0.5,0.9999999999999999,0.7,0.7,0.8006937664098821,0.7692307692307693,1.0,0.9793710048273764,10
ZERO_SHOT,0.5714285714285714,0.8559523809523808,1.4037280069281244,0.45606214298518466,0.48734144568443305,0.0,0.3,0.21265855431556702,0.7,10,7,0.8,0.5714285714285714,0.8687949224876581,0.7,1.0,0.9530418785472458,0.7,1.0,0.9530418785472458,11
ZERO_SHOT,0.5714285714285714,0.8559523809523808,1.4777121999319676,0.4704916378163727,0.5000280229374766,0.0,0.3,0.19997197706252337,0.7,10,7,0.8,0.5714285714285714,0.8687949224876581,0.7,1.0,0.9530418785472458,0.7,1.0,0.9530418785472458,12
ZERO_SHOT,0.8,0.9809090909090908,1.5971609569620149,0.557245462429104,0.6974809914827347,0.0,0.09090909090909091,0.2116099176081744,0.9090909090909091,11,10,1.0,0.5,0.9999999999999999,0.9,0.9,0.933745776545611,0.9090909090909091,1.0,0.9951388221503574,13
ZERO_SHOT,0.7666666666666666,0.8134920634920634,0.8244334505735733,0.3104393996691382,0.34970343790271063,0.0,0.45454545454545453,0.22696339677680621,0.5454545454545454,11,6,0.6,0.5,0.69921481985085,0.6,1.0,0.9279641043683683,0.5454545454545454,1.0,0.9279641043683683,14
ZERO_SHOT,0.6,0.7871057513914657,1.1949520060342746,0.38553956584189414,0.3845169444878896,0.0,0.4166666666666667,0.19881638884544373,0.5833333333333334,12,7,0.6,0.42857142857142855,0.7227265726449517,0.5,0.7142857142857143,0.7752805260144073,0.5833333333333334,1.0,0.9262374129098078,15
ZERO_SHOT,0.7142857142857143,0.9095238095238094,1.3857153607396728,0.43771815732370634,0.47799992840737104,0.0,0.3,0.22200007159262897,0.7,10,7,1.0,0.7142857142857143,0.9999999999999999,0.7,1.0,0.9726647310833559,0.7,1.0,0.9726647310833559,16
ZERO_SHOT,0.8,0.951923076923077,1.3278290229414897,0.4556079750314723,0.531507480602998,0.0,0.23076923076923078,0.23772328862777123,0.7692307692307693,13,10,1.0,0.5,0.9999999999999999,0.8,0.8,0.8701249883466594,0.7692307692307693,1.0,0.9874091811594071,17
ZERO_SHOT,0.5,0.6111111111111112,1.2149778201742951,0.34230585421451704,0.400374187156558,0.0,0.5555555555555556,0.16837718110117647,0.4444444444444444,9,4,0.4,0.5,0.5585075862632191,0.4444444444444444,1.0,0.8150798705304217,0.4444444444444444,1.0,0.8150798705304217,18
ZERO_SHOT,0.5714285714285714,0.8559523809523808,1.4777121999319676,0.4704916378163727,0.5000280229374766,0.0,0.3,0.19997197706252337,0.7,10,7,0.8,0.5714285714285714,0.8687949224876581,0.7,1.0,0.9530418785472458,0.7,1.0,0.9530418785472458,19
