iteration,meta_loss,n_valid_tasks,n_skipped,n_skipped_this_iteration,n_skipped_cumulative
1,116.87006378173828,4,0,0,0
2,17.366321563720703,4,0,0,0
3,17.097793579101562,4,0,0,0
4,2.091461420059204,4,0,0,0
5,15.00950813293457,4,0,0,0
6,32.8635368347168,4,0,0,0
7,120.32567596435547,4,0,0,0
8,125.1492691040039,4,0,0,0
9,9.68173885345459,4,0,0,0
10,8.701261520385742,4,0,0,0
11,35.86890411376953,4,0,0,0
12,5.615805625915527,4,0,0,0
13,2.9516470432281494,4,0,0,0
14,59.91092300415039,4,0,0,0
15,5.120999336242676,4,0,0,0
16,2.584721326828003,4,0,0,0
17,27.98893165588379,4,0,0,0
18,34.26602554321289,4,0,0,0
19,37.86575698852539,4,0,0,0
20,32.799560546875,4,0,0,0
21,25.47917938232422,4,0,0,0
22,14.240828514099121,4,0,0,0
23,12.454298973083496,4,0,0,0
24,4.119046688079834,4,0,0,0
25,31.41237449645996,4,0,0,0
26,10.706382751464844,4,0,0,0
27,12.381064414978027,4,0,0,0
28,139.1840362548828,4,0,0,0
29,12.707006454467773,4,0,0,0
30,15.20283031463623,4,0,0,0
31,15.513875961303711,4,0,0,0
32,12.218733787536621,4,0,0,0
33,11.578728675842285,4,0,0,0
34,11.017419815063477,4,0,0,0
35,9.20009994506836,4,0,0,0
36,135.77822875976562,4,0,0,0
37,4.646053314208984,4,0,0,0
38,7.5120110511779785,4,0,0,0
39,67.3003921508789,4,0,0,0
40,2.6311252117156982,4,0,0,0
41,24.695947647094727,4,0,0,0
42,30.429845809936523,4,0,0,0
43,31.290517807006836,4,0,0,0
44,28.600358963012695,4,0,0,0
45,83.68199920654297,4,0,0,0
46,11.41283130645752,4,0,0,0
47,3.281247138977051,4,0,0,0
48,87.00623321533203,4,0,0,0
49,7.381570816040039,4,0,0,0
50,8.620833396911621,4,0,0,0
51,8.830341339111328,4,0,0,0
52,29.62667465209961,4,0,0,0
53,128.63258361816406,4,0,0,0
54,9.356117248535156,4,0,0,0
55,9.42789363861084,4,0,0,0
56,126.86689758300781,4,0,0,0
57,8.740022659301758,4,0,0,0
58,29.95026206970215,4,0,0,0
59,8.161273956298828,4,0,0,0
60,6.800656795501709,4,0,0,0
61,5.637173652648926,4,0,0,0
62,2.9613795280456543,4,0,0,0
63,15.22602653503418,4,0,0,0
64,20.985002517700195,4,0,0,0
65,28.744264602661133,4,0,0,0
66,7.908327102661133,4,0,0,0
67,8.556300163269043,4,0,0,0
68,31.128881454467773,4,0,0,0
69,24.374244689941406,4,0,0,0
70,14.099959373474121,4,0,0,0
71,10.075817108154297,4,0,0,0
72,1.51776123046875,4,0,0,0
73,1.3430532217025757,4,0,0,0
74,4.85603141784668,4,0,0,0
75,4.731616497039795,4,0,0,0
76,141.6584014892578,4,0,0,0
77,5.457004070281982,4,0,0,0
78,4.926141262054443,4,0,0,0
79,2.739403009414673,4,0,0,0
80,10.277076721191406,4,0,0,0
81,62.66748809814453,4,0,0,0
82,5.541686534881592,4,0,0,0
83,66.80091857910156,4,0,0,0
84,5.172050952911377,4,0,0,0
85,8.867838859558105,4,0,0,0
86,73.46648406982422,4,0,0,0
87,5.115176677703857,4,0,0,0
88,12.570404052734375,4,0,0,0
89,15.48235034942627,4,0,0,0
90,13.75196647644043,4,0,0,0
91,70.20085144042969,4,0,0,0
92,10.474577903747559,4,0,0,0
93,3.4772932529449463,4,0,0,0
94,5.233623504638672,4,0,0,0
95,27.78692626953125,4,0,0,0
96,5.195070266723633,4,0,0,0
97,3.623209238052368,4,0,0,0
98,1.3214901685714722,4,0,0,0
99,69.74744415283203,4,0,0,0
100,8.784313201904297,4,0,0,0
101,2.9759414196014404,4,0,0,0
102,81.3741226196289,4,0,0,0
103,23.758874893188477,4,0,0,0
104,19.383142471313477,4,0,0,0
105,75.11481475830078,4,0,0,0
106,4.966033458709717,4,0,0,0
107,5.991344928741455,4,0,0,0
108,18.407072067260742,4,0,0,0
109,5.29942512512207,4,0,0,0
110,11.83994197845459,4,0,0,0
111,14.873517990112305,4,0,0,0
112,13.20494270324707,4,0,0,0
113,10.244183540344238,4,0,0,0
114,6.015817642211914,4,0,0,0
115,56.13113784790039,4,0,0,0
116,44.01738739013672,4,0,0,0
117,4.153224468231201,4,0,0,0
118,46.84758377075195,4,0,0,0
119,142.6130828857422,4,0,0,0
120,46.458309173583984,4,0,0,0
121,4.566164970397949,4,0,0,0
122,4.186625957489014,4,0,0,0
123,2.6260578632354736,4,0,0,0
124,13.59226131439209,4,0,0,0
125,64.90509796142578,4,0,0,0
126,6.198006629943848,4,0,0,0
127,7.232889652252197,4,0,0,0
128,68.23464965820312,4,0,0,0
129,27.24939727783203,4,0,0,0
130,23.89656639099121,4,0,0,0
131,5.821795463562012,4,0,0,0
132,5.435173988342285,4,0,0,0
133,79.66825866699219,4,0,0,0
134,80.70172882080078,4,0,0,0
135,7.00846004486084,4,0,0,0
136,5.110579967498779,4,0,0,0
137,7.902036190032959,4,0,0,0
138,68.73114776611328,4,0,0,0
139,5.277153491973877,4,0,0,0
140,1.6850547790527344,4,0,0,0
141,2.514220714569092,4,0,0,0
142,52.264095306396484,4,0,0,0
143,3.096640110015869,4,0,0,0
144,2.1302778720855713,4,0,0,0
145,7.0582499504089355,4,0,0,0
146,5.5213141441345215,4,0,0,0
147,15.81085205078125,4,0,0,0
148,22.430213928222656,4,0,0,0
149,26.377988815307617,4,0,0,0
150,0.9215294718742371,4,0,0,0
151,23.67740249633789,4,0,0,0
152,21.462186813354492,4,0,0,0
153,77.07427978515625,4,0,0,0
154,8.176490783691406,4,0,0,0
155,1.413775086402893,4,0,0,0
156,46.409244537353516,4,0,0,0
157,6.653656482696533,4,0,0,0
158,7.986563682556152,4,0,0,0
159,128.4028778076172,4,0,0,0
160,8.747135162353516,4,0,0,0
161,8.769425392150879,4,0,0,0
162,7.96362829208374,4,0,0,0
163,6.788167476654053,4,0,0,0
164,4.0666728019714355,4,0,0,0
165,5.518036365509033,4,0,0,0
166,4.1234965324401855,4,0,0,0
167,80.62615203857422,4,0,0,0
168,25.198610305786133,4,0,0,0
