iteration,meta_loss,n_valid_tasks,n_skipped,n_skipped_this_iteration,n_skipped_cumulative
1,36.06747817993164,4,0,0,0
2,17.366079330444336,4,0,0,0
3,17.095945358276367,4,0,0,0
4,57.050621032714844,4,0,0,0
5,10.785874366760254,4,0,0,0
6,61.377716064453125,4,0,0,0
7,96.35860443115234,4,0,0,0
8,113.36782836914062,4,0,0,0
9,37.009620666503906,4,0,0,0
10,36.09168243408203,4,0,0,0
11,12.29495620727539,4,0,0,0
12,29.768505096435547,4,0,0,0
13,26.617578506469727,4,0,0,0
14,15.343194007873535,4,0,0,0
15,7.675760269165039,4,0,0,0
16,60.499725341796875,4,0,0,0
17,9.805760383605957,4,0,0,0
18,12.517536163330078,4,0,0,0
19,13.22805404663086,4,0,0,0
20,13.928346633911133,4,0,0,0
21,13.384790420532227,4,0,0,0
22,11.986773490905762,4,0,0,0
23,9.647883415222168,4,0,0,0
24,5.568362712860107,4,0,0,0
25,95.61065673828125,4,0,0,0
26,5.508535861968994,4,0,0,0
27,10.617164611816406,4,0,0,0
28,92.21730041503906,4,0,0,0
29,7.544256210327148,4,0,0,0
30,102.32852935791016,4,0,0,0
31,90.36074829101562,4,0,0,0
32,6.632877826690674,4,0,0,0
33,8.097814559936523,4,0,0,0
34,9.391667366027832,4,0,0,0
35,9.18951416015625,4,0,0,0
36,48.37901306152344,4,0,0,0
37,7.821971893310547,4,0,0,0
38,53.337039947509766,4,0,0,0
39,75.68881225585938,4,0,0,0
40,49.686832427978516,4,0,0,0
41,9.559731483459473,4,0,0,0
42,10.141741752624512,4,0,0,0
43,9.87311840057373,4,0,0,0
44,8.606752395629883,4,0,0,0
45,76.55187225341797,4,0,0,0
46,5.531255722045898,4,0,0,0
47,3.4940013885498047,4,0,0,0
48,100.10618591308594,4,0,0,0
49,5.507418155670166,4,0,0,0
50,13.401043891906738,4,0,0,0
51,17.492155075073242,4,0,0,0
52,15.249902725219727,4,0,0,0
53,102.2326431274414,4,0,0,0
54,20.54414939880371,4,0,0,0
55,15.945634841918945,4,0,0,0
56,88.49703216552734,4,0,0,0
57,1.392289638519287,4,0,0,0
58,91.52177429199219,4,0,0,0
59,5.317341327667236,4,0,0,0
60,5.850247859954834,4,0,0,0
61,6.455120086669922,4,0,0,0
62,5.452600955963135,4,0,0,0
63,3.5583338737487793,4,0,0,0
64,20.99808120727539,4,0,0,0
65,5.828766345977783,4,0,0,0
66,94.24755859375,4,0,0,0
67,98.72272491455078,4,0,0,0
68,17.202913284301758,4,0,0,0
69,12.862239837646484,4,0,0,0
70,5.486154556274414,4,0,0,0
71,1.3502053022384644,4,0,0,0
72,2.6620137691497803,4,0,0,0
73,39.1043815612793,4,0,0,0
74,2.9720394611358643,4,0,0,0
75,3.7324748039245605,4,0,0,0
76,77.88714599609375,4,0,0,0
77,1.451508641242981,4,0,0,0
78,1.6941041946411133,4,0,0,0
79,1.670793056488037,4,0,0,0
80,2.3885080814361572,4,0,0,0
81,89.09269714355469,4,0,0,0
82,61.08201599121094,4,0,0,0
83,74.67727661132812,4,0,0,0
