department,n_rows,n_unique_contracts,pct
Devices & Needles,2197,476,21.76
Drug Product Outsourcing,589,300,13.72
Drug Substance Outsourcing,943,298,13.63
Packaging Material,1272,289,13.21
Raw Materials & Energy,1555,281,12.85
"Quality, Production Services & Supplies",1044,215,9.83
Bioprocessing & Raw Materials,679,113,5.17
Logistics,282,94,4.3
Bioprocessing and Excipients,218,59,2.7
"Alliance, Acquisitions & PPM CoE",270,35,1.6
Strategic Sourcing US Hub,15,9,0.41
Global Strategic Outsourcing & Devices,23,8,0.37
HI Warehouse Expansion Program,20,8,0.37
"Strategy, Sourcing & Negotiation CoE",2,2,0.09
