department,total_rows,total_unique_contracts,real_gold_pos_contracts,real_gold_neg_contracts,real_gold_total_contracts,unlabeled_contracts,threshold_name,threshold_pos,threshold_neg,pseudo_pos_contracts,pseudo_neg_contracts,pseudo_total_contracts,combined_real_plus_pseudo_pos_contracts,combined_real_plus_pseudo_neg_contracts,combined_total_contracts,max_balanced_k,stage2_task_eligible_real_only,stage2_task_eligible_simulation,notes
"Alliance, Acquisitions & PPM CoE",270,35,0,0,0,35,0.95/0.05,0.95,0.05,4,0,4,4,0,4,0,No,No,
"Alliance, Acquisitions & PPM CoE",270,35,0,0,0,35,0.90/0.10,0.9,0.1,8,0,8,8,0,8,0,No,No,
"Alliance, Acquisitions & PPM CoE",270,35,0,0,0,35,0.85/0.15,0.85,0.15,8,0,8,8,0,8,0,No,No,
"Alliance, Acquisitions & PPM CoE",270,35,0,0,0,35,0.80/0.20,0.8,0.2,12,0,12,12,0,12,0,No,No,
"Alliance, Acquisitions & PPM CoE",270,35,0,0,0,35,0.75/0.25,0.75,0.25,15,0,15,15,0,15,0,No,No,
"Alliance, Acquisitions & PPM CoE",270,35,0,0,0,35,0.70/0.30,0.7,0.3,22,3,25,22,3,25,3,No,Yes,
Bioprocessing & Raw Materials,679,113,0,0,0,113,0.95/0.05,0.95,0.05,1,0,1,1,0,1,0,No,No,
Bioprocessing & Raw Materials,679,113,0,0,0,113,0.90/0.10,0.9,0.1,2,0,2,2,0,2,0,No,No,
Bioprocessing & Raw Materials,679,113,0,0,0,113,0.85/0.15,0.85,0.15,9,2,11,9,2,11,2,No,Yes,
Bioprocessing & Raw Materials,679,113,0,0,0,113,0.80/0.20,0.8,0.2,20,3,23,20,3,23,3,No,Yes,
Bioprocessing & Raw Materials,679,113,0,0,0,113,0.75/0.25,0.75,0.25,25,8,33,25,8,33,8,No,Yes,
Bioprocessing & Raw Materials,679,113,0,0,0,113,0.70/0.30,0.7,0.3,27,29,56,27,29,56,27,No,Yes,
Bioprocessing and Excipients,218,59,1,0,1,58,0.95/0.05,0.95,0.05,2,4,6,3,4,7,3,No,Yes,
Bioprocessing and Excipients,218,59,1,0,1,58,0.90/0.10,0.9,0.1,2,6,8,3,6,9,3,No,Yes,
Bioprocessing and Excipients,218,59,1,0,1,58,0.85/0.15,0.85,0.15,5,6,11,6,6,12,6,No,Yes,
Bioprocessing and Excipients,218,59,1,0,1,58,0.80/0.20,0.8,0.2,8,6,14,9,6,15,6,No,Yes,
Bioprocessing and Excipients,218,59,1,0,1,58,0.75/0.25,0.75,0.25,8,7,15,9,7,16,7,No,Yes,
Bioprocessing and Excipients,218,59,1,0,1,58,0.70/0.30,0.7,0.3,9,8,17,10,8,18,8,No,Yes,
Devices & Needles,2197,476,0,0,0,476,0.95/0.05,0.95,0.05,15,1,16,15,1,16,1,No,Yes,
Devices & Needles,2197,476,0,0,0,476,0.90/0.10,0.9,0.1,22,2,24,22,2,24,2,No,Yes,
Devices & Needles,2197,476,0,0,0,476,0.85/0.15,0.85,0.15,25,27,52,25,27,52,25,No,Yes,
Devices & Needles,2197,476,0,0,0,476,0.80/0.20,0.8,0.2,35,80,115,35,80,115,35,No,Yes,
Devices & Needles,2197,476,0,0,0,476,0.75/0.25,0.75,0.25,54,137,191,54,137,191,54,No,Yes,
Devices & Needles,2197,476,0,0,0,476,0.70/0.30,0.7,0.3,56,168,224,56,168,224,56,No,Yes,
Drug Product Outsourcing,589,300,0,0,0,300,0.95/0.05,0.95,0.05,0,1,1,0,1,1,0,No,No,
Drug Product Outsourcing,589,300,0,0,0,300,0.90/0.10,0.9,0.1,1,7,8,1,7,8,1,No,Yes,
Drug Product Outsourcing,589,300,0,0,0,300,0.85/0.15,0.85,0.15,1,31,32,1,31,32,1,No,Yes,
Drug Product Outsourcing,589,300,0,0,0,300,0.80/0.20,0.8,0.2,1,41,42,1,41,42,1,No,Yes,
Drug Product Outsourcing,589,300,0,0,0,300,0.75/0.25,0.75,0.25,1,50,51,1,50,51,1,No,Yes,
Drug Product Outsourcing,589,300,0,0,0,300,0.70/0.30,0.7,0.3,2,55,57,2,55,57,2,No,Yes,
Drug Substance Outsourcing,943,298,0,0,0,298,0.95/0.05,0.95,0.05,2,2,4,2,2,4,2,No,Yes,
Drug Substance Outsourcing,943,298,0,0,0,298,0.90/0.10,0.9,0.1,2,9,11,2,9,11,2,No,Yes,
Drug Substance Outsourcing,943,298,0,0,0,298,0.85/0.15,0.85,0.15,4,12,16,4,12,16,4,No,Yes,
Drug Substance Outsourcing,943,298,0,0,0,298,0.80/0.20,0.8,0.2,9,20,29,9,20,29,9,No,Yes,
Drug Substance Outsourcing,943,298,0,0,0,298,0.75/0.25,0.75,0.25,11,29,40,11,29,40,11,No,Yes,
Drug Substance Outsourcing,943,298,0,0,0,298,0.70/0.30,0.7,0.3,17,38,55,17,38,55,17,No,Yes,
Global Strategic Outsourcing & Devices,23,8,0,0,0,8,0.95/0.05,0.95,0.05,0,0,0,0,0,0,0,No,No,
Global Strategic Outsourcing & Devices,23,8,0,0,0,8,0.90/0.10,0.9,0.1,0,1,1,0,1,1,0,No,No,
Global Strategic Outsourcing & Devices,23,8,0,0,0,8,0.85/0.15,0.85,0.15,0,1,1,0,1,1,0,No,No,
Global Strategic Outsourcing & Devices,23,8,0,0,0,8,0.80/0.20,0.8,0.2,0,1,1,0,1,1,0,No,No,
Global Strategic Outsourcing & Devices,23,8,0,0,0,8,0.75/0.25,0.75,0.25,0,1,1,0,1,1,0,No,No,
Global Strategic Outsourcing & Devices,23,8,0,0,0,8,0.70/0.30,0.7,0.3,0,1,1,0,1,1,0,No,No,
HI Warehouse Expansion Program,20,8,0,0,0,8,0.95/0.05,0.95,0.05,0,0,0,0,0,0,0,No,No,
HI Warehouse Expansion Program,20,8,0,0,0,8,0.90/0.10,0.9,0.1,0,0,0,0,0,0,0,No,No,
HI Warehouse Expansion Program,20,8,0,0,0,8,0.85/0.15,0.85,0.15,0,0,0,0,0,0,0,No,No,
HI Warehouse Expansion Program,20,8,0,0,0,8,0.80/0.20,0.8,0.2,0,2,2,0,2,2,0,No,No,
HI Warehouse Expansion Program,20,8,0,0,0,8,0.75/0.25,0.75,0.25,0,3,3,0,3,3,0,No,No,
HI Warehouse Expansion Program,20,8,0,0,0,8,0.70/0.30,0.7,0.3,0,5,5,0,5,5,0,No,No,
Logistics,282,94,5,3,8,86,0.95/0.05,0.95,0.05,3,42,45,8,45,53,8,Yes,Yes,
Logistics,282,94,5,3,8,86,0.90/0.10,0.9,0.1,3,58,61,8,61,69,8,Yes,Yes,
