metric,value
total_rows,282
total_unique_contracts,94
contracts_with_gold,8
contracts_without_gold,86
row_prob_min,3.5883713872940296e-06
row_prob_p01,9.46449023871204e-06
row_prob_p05,2.3872208754344592e-05
row_prob_p10,0.0007447198910540923
row_prob_p25,0.0190038727690746
row_prob_median,0.0909363536808591
row_prob_p75,0.6664002771774752
row_prob_p90,0.999999999949046
row_prob_p95,0.9999999999998932
row_prob_p99,0.9999999999999784
row_prob_max,0.9999999999999784
row_prob_mean,0.3357984667497833
row_prob_std,0.3951208510825069
threshold_0.95/0.05_pos_rows,58
threshold_0.95/0.05_neg_rows,103
threshold_0.95/0.05_pos_contracts,9
threshold_0.95/0.05_neg_contracts,51
threshold_0.95/0.05_pos_agreement,0/0
threshold_0.95/0.05_neg_agreement,6/12
threshold_0.95/0.05_conflicts,6
threshold_0.90/0.10_pos_rows,58
threshold_0.90/0.10_neg_rows,145
threshold_0.90/0.10_pos_contracts,9
threshold_0.90/0.10_neg_contracts,70
threshold_0.90/0.10_pos_agreement,0/0
threshold_0.90/0.10_neg_agreement,8/15
threshold_0.90/0.10_conflicts,7
threshold_0.85/0.15_pos_rows,58
threshold_0.85/0.15_neg_rows,161
threshold_0.85/0.15_pos_contracts,9
threshold_0.85/0.15_neg_contracts,74
threshold_0.85/0.15_pos_agreement,0/0
threshold_0.85/0.15_neg_agreement,8/18
threshold_0.85/0.15_conflicts,10
threshold_0.80/0.20_pos_rows,65
threshold_0.80/0.20_neg_rows,172
threshold_0.80/0.20_pos_contracts,9
threshold_0.80/0.20_neg_contracts,79
threshold_0.80/0.20_pos_agreement,0/0
threshold_0.80/0.20_neg_agreement,8/20
threshold_0.80/0.20_conflicts,12
threshold_0.75/0.25_pos_rows,65
threshold_0.75/0.25_neg_rows,176
threshold_0.75/0.25_pos_contracts,9
threshold_0.75/0.25_neg_contracts,82
threshold_0.75/0.25_pos_agreement,0/0
threshold_0.75/0.25_neg_agreement,8/20
threshold_0.75/0.25_conflicts,12
threshold_0.70/0.30_pos_rows,65
threshold_0.70/0.30_neg_rows,178
threshold_0.70/0.30_pos_contracts,9
threshold_0.70/0.30_neg_contracts,82
threshold_0.70/0.30_pos_agreement,0/0
threshold_0.70/0.30_neg_agreement,8/20
threshold_0.70/0.30_conflicts,12
