target_department,candidate_bucket,contract_id,contract_number,contract_name,supplier_id,supplier_display_name,department,renegotiation_prob,contract_age_years,payment_terms,incoterms,contract_value_dkk
Drug Product Outsourcing,likely_yes_high_score,8174,8175,Vetter_Master_2012_SA,17460,VETTER PHARMA INTERNATIONAL GMBH,Drug Product Outsourcing,0.9999999999886172,13,F045 Invoice Date + 45 days,EXW Ex works,
Drug Product Outsourcing,likely_yes_high_score,8149,8150,Patheon_Call-off_2019_WO1_Ed1ProjectPhase,13280,"PATHEON MANUFACTURING SERVICES, LLC",Drug Product Outsourcing,0.999999963053714,6,F045 Invoice Date + 45 days,,31500000.0
Drug Product Outsourcing,likely_yes_high_score,40257,40257,Merck Life Science AS_Stand-alone_2020_LOA_Building FF HAC (Former BFK) SUS project,5713,MERCK LIFE SCIENCE A/S,Drug Product Outsourcing,0.999999963053714,5,F045 Invoice Date + 45 days,DDP Delivered duty paid,0.0
Drug Product Outsourcing,likely_yes_high_score,42718,42718,Merck Life Science AS_Stand alone_2020_Environmental Program Appendix,5713,MERCK LIFE SCIENCE A/S,Drug Product Outsourcing,0.999999963053714,5,,,0.0
Drug Product Outsourcing,likely_yes_high_score,8177,8178,Vetter_Call-off_2019_WO2_CR14FormatParts,17460,VETTER PHARMA INTERNATIONAL GMBH,Drug Product Outsourcing,0.9999999533883944,6,F045 Invoice Date + 45 days,,9685000.0
Drug Product Outsourcing,likely_yes_high_score,94858,94867,Catalent Belgium_Call-off_2020_OA_AA2_Extension,12599,CATALENT BELGIUM SA C/O LIVLINA,Drug Product Outsourcing,0.99999994455669,5,F030 Invoice Date + 30 days,FCA Free carrier,391516758.25
Drug Product Outsourcing,likely_yes_high_score,19458,19458,Catalent Belgium_Call-off_2019_WO16_SEMA_D_compensation,12599,CATALENT BELGIUM SA C/O LIVLINA,Drug Product Outsourcing,0.99999994455669,6,,,10430000.0
Drug Product Outsourcing,likely_yes_high_score,8131,8132,Catalent Belgium_Call-off_2019_WO2rev2_SafetyStock,12599,CATALENT BELGIUM SA C/O LIVLINA,Drug Product Outsourcing,0.99999994455669,6,,,15740658.0
Drug Product Outsourcing,likely_yes_high_score,35513,35513,Catalent_Call-off_2020_WO15_PPQ SEMA D,12599,CATALENT BELGIUM SA C/O LIVLINA,Drug Product Outsourcing,0.99999994455669,5,F030 Invoice Date + 30 days,,10463554.8
Drug Product Outsourcing,likely_yes_high_score,325073,326160,Technical Agreement_Noble International_Master_20190813)MSA (CID2989)_326160,200710,NOBLE INTERNATIONAL LLC,Drug Product Outsourcing,0.9998522626667028,6,F045 Invoice Date + 45 days,,0.0
Drug Product Outsourcing,likely_no_low_score,410223,410966,Catalent_Call-off_2024_WO#01_PPQ batches,343257,CATALENT ANAGNI S.R.L.,Drug Product Outsourcing,0.0190279503212775,1,F030 Invoice Date + 30 days,FCA Free carrier,10776960.0
Drug Product Outsourcing,likely_no_low_score,478469,478575,Catalent Belgium_Call-Off_2024_WO15_Capacity Improvement Program Part II,12599,CATALENT BELGIUM SA C/O LIVLINA,Drug Product Outsourcing,0.1254914710775896,1,F030 Invoice Date + 30 days,DDP Delivered duty paid,11385879.7
Drug Product Outsourcing,likely_no_low_score,461479,461725,Catalent Belgium_Call-Off_2024_WO12_Capacity Improvement Plan,12599,CATALENT BELGIUM SA C/O LIVLINA,Drug Product Outsourcing,0.1254914710775896,1,F030 Invoice Date + 30 days,FCA Free carrier,28903981.05
Drug Product Outsourcing,likely_no_low_score,555764,554994,BEWI_Novartis_NN_3 Way CDA_2025_Tailor made parts & materials for drug product manufacturing project,18815,BEWI DENMARK A/S,Drug Product Outsourcing,0.1254914710775896,0,,,0.0
Drug Product Outsourcing,likely_no_low_score,441935,442599,Nichepharm_WO_06082024_TT,304916,NICHEPHARM LIFE SCIENCES PVT LIMITE,Drug Product Outsourcing,0.1302543088305479,1,F030 Invoice Date + 30 days,DDP Delivered duty paid,4950000.0
