target_department,candidate_bucket,contract_id,contract_number,contract_name,supplier_id,supplier_display_name,department,renegotiation_prob,contract_age_years,payment_terms,incoterms,contract_value_dkk
Packaging Material,likely_yes_high_score,8145,8146,Gentofte Fjernvarme_Call-off_2014_SA_APP_leveringsbestemmelser_200141121,8238,GENTOFTE KOMMUNE KRAFTVARME V/NESA A/S,Packaging Material,0.9999999999919228,11,,,
Packaging Material,likely_yes_high_score,8765,8765,Novo Nordisk Pharmatech_Master_2015_SLA,6704,NOVO NORDISK PHARMATECH A/S P.O. BOX 230,Packaging Material,0.9999999999919228,10,,,0.0
Packaging Material,likely_yes_high_score,8767,8767,Vestforbrænding_Master_2009_SA,8741,VESTFORBRÆNDING I/S,Packaging Material,0.9999999999919228,16,,,
Packaging Material,likely_yes_high_score,279953,281491,"New Century Graphic Arts Industrial Co., Ltd._Amendment No 3_2023_Price sheet update",26358,大连新世纪印刷信息产业有限公司,Packaging Material,0.9999999999909776,11,F060 Invoice Date + 60 days,DDP Delivered duty paid,
Packaging Material,likely_yes_high_score,826,826,Gráficos Sangar Ltda_Master_20130628_SA,34673,GRAFICOS SANGAR LTDA,Packaging Material,0.9999999999909776,12,F045 Invoice Date + 45 days,EXW Ex works,
Packaging Material,likely_yes_high_score,2089,2089,West Pharmaceutical Services_Stand-alone_20180502_WO_2302 Vision Inspection,7551,WEST PHARMACEUTICAL SERVICES DEUTSCHLAND GMBH & CO. KG,Packaging Material,0.9999999999909776,7,,,0.0
Packaging Material,likely_yes_high_score,8163,8164,Kalundborg bioenergi aps_Call-Off_2014_LoI_Biogas on biomass,17030,KALUNDBORG BIOENERGI APS,Packaging Material,0.9999999999909776,10,,,0.0
Packaging Material,likely_yes_high_score,280508,282018,Tianjin Yiyao Printing Co. Ltd_Amendment No 3_2023_Pricing sheet update,21900,天津宜药印务有限公司,Packaging Material,0.9999999999909776,11,F030 Invoice Date + 30 days,DDP Delivered duty paid,
Packaging Material,likely_yes_high_score,1984,1984,"WestRock MWV, LLC_Master_20160930_SA",13466,SMURFIT WESTROCK,Packaging Material,0.9999999999909776,9,F060 Invoice Date + 60 days,DDP Delivered duty paid,111750000.0
Packaging Material,likely_yes_high_score,2002,2002,Braunform_Master_20070115_OA,8702,BRAUNFORM GMBH,Packaging Material,0.9999999999909776,18,F030 Invoice Date + 30 days,DAP Del.at Place-excl.unloading,
Packaging Material,likely_no_low_score,482184,482220,Suzano SA_ Collaboration Agreement_2024,387285,SUZANO S.A.,Packaging Material,0.1179512106119423,1,,,0.0
Packaging Material,likely_no_low_score,437658,438387,Suzano S.A._CDA_2024,387285,SUZANO S.A.,Packaging Material,0.1179512106119423,1,F060 Invoice Date + 60 days,,0.0
Packaging Material,likely_no_low_score,575200,574170,West_Pharmaceuticals_CDA_2025_rubber_laminate_data,15754,WEST PHARMACEUTICAL SERVICES INC,Packaging Material,0.1255413236079006,0,L030 Current Month + 30 days,DDP Delivered duty paid,0.0
