target_department,candidate_bucket,contract_id,contract_number,contract_name,supplier_id,supplier_display_name,department,renegotiation_prob,contract_age_years,payment_terms,incoterms,contract_value_dkk
Raw Materials & Energy,likely_yes_high_score,19695,19695,Novozymes_SLA_2013_Aftale om biogasanlæg,8115,NOVOZYMES A/S,Raw Materials & Energy,0.9999999999940576,12,,,
Raw Materials & Energy,likely_yes_high_score,2026,2026,Winifred International Technology (Shanghai) Ltd._Master_20140217_SA,30335,卫利国际科贸（上海）有限公司,Raw Materials & Energy,0.9999999999929998,11,F045 Invoice Date + 45 days,DDP Delivered duty paid,
Raw Materials & Energy,likely_yes_high_score,1117,1117,Colly Sanitary Technologies AB_Master_20151027_SA,14844,COLLY FLOWTECH AB,Raw Materials & Energy,0.9999999999919228,10,L045 Current Month + 45 days,DAP Del.at Place-excl.unloading,0.0
Raw Materials & Energy,likely_yes_high_score,729,729,S.A. Citrique Belge N.V._Stand-alone_2014_BTA,11425,CITRIBEL NV,Raw Materials & Energy,0.9999999999919228,11,,,
Raw Materials & Energy,likely_yes_high_score,690,690,Jungbunzlauer Austria AG_Stand-alone_2014_BTA,7486,JUNGBUNZLAUER AUSTRIA AG,Raw Materials & Energy,0.9999999999919228,11,,,
Raw Materials & Energy,likely_yes_high_score,524,524,Chemark ApS_Stand-alone_2018_BTA,13145,OQEMA APS,Raw Materials & Energy,0.9999999999919228,7,,,0.0
Raw Materials & Energy,likely_yes_high_score,936,936,Pall Life Sciences Belgium BVBA_STAND-ALONE_2014_BTA_STJ,6335,PALL LIFE SCIENCES BELGIUM BVBA,Raw Materials & Energy,0.9999999999919228,11,,,
Raw Materials & Energy,likely_yes_high_score,937,937,Pall Life Sciences Belgium BVBA_STAND-ALONE_2015_BTA,6335,PALL LIFE SCIENCES BELGIUM BVBA,Raw Materials & Energy,0.9999999999919228,10,,,0.0
Raw Materials & Energy,likely_yes_high_score,563,563,BASF SE_Master_20090409_SA,5947,BASF SE,Raw Materials & Energy,0.9999999999919228,16,F030 Invoice Date + 30 days,FCA Free carrier,
Raw Materials & Energy,likely_yes_high_score,902,902,Laboratoires Anios_Stand-Alone_2016_BTA,11782,Laboratoires ANIOS SAS,Raw Materials & Energy,0.9999999999919228,9,,,0.0
Raw Materials & Energy,likely_no_low_score,79111,79119,WESTFIELD MEDICAL LIMITED_Stand Alone_2020_PA_Price agreement from 2021,13838,WESTFIELD MEDICAL LIMITED,Raw Materials & Energy,0.0131457203458643,4,F060 Invoice Date + 60 days,DDP Delivered duty paid,0.0
Raw Materials & Energy,likely_no_low_score,969,969,Westfield Medical Limited_Stand-Alone_2018_PA,13838,WESTFIELD MEDICAL LIMITED,Raw Materials & Energy,0.0131457203458643,4,F060 Invoice Date + 60 days,DDP Delivered duty paid,0.0
Raw Materials & Energy,likely_no_low_score,110009,110021,N.V. ASAHI KASEI BIOPROCESS EUROPE_STAND ALONE_2021_BTA,9137,N.V. ASAHI KASEI BIOPROCESS EUROPE,Raw Materials & Energy,0.0262473916435861,4,,,0.0
Raw Materials & Energy,likely_no_low_score,80818,80825,LUGAIA AG_Stand Alone_2020_PA Pricing Agreement for 2021,15083,LUGAIA AG,Raw Materials & Energy,0.129073419955448,4,F030 Invoice Date + 30 days,DDP Delivered duty paid,0.0
