department,gold_total,gold_yes,gold_no,gold_yes_rate
"Alliance, Acquisitions & PPM CoE",24,12,12,0.5
"Quality, Production Services & Supplies",24,12,12,0.5
Bioprocessing & Raw Materials,24,12,12,0.5
Bioprocessing and Excipients,24,12,12,0.5
Devices & Needles,24,12,12,0.5
Drug Product Outsourcing,24,12,12,0.5
Drug Substance Outsourcing,24,12,12,0.5
Raw Materials & Energy,24,12,12,0.5
Logistics,24,12,12,0.5
Packaging Material,24,12,12,0.5
Purchasing Excellence External,20,8,12,0.4
Strategic Sourcing US Hub,9,0,9,0.0
Global Strategic Outsourcing & Devices,8,0,8,0.0
HI Warehouse Expansion Program,8,0,8,0.0
Packaging material,8,6,2,0.75
Global Strategic Outsourcing & Devices & Needles,5,3,2,0.6
Aseptic Production,3,0,3,0.0
"Strategy, Sourcing & Negotiation CoE",2,0,2,0.0
"Distribution, GxP services & Energy",1,0,1,0.0
