model,gold_auroc,gold_ap,gold_logloss,gold_brier,gold_ece,gold_f1,gold_accuracy,gold_pred_mean,gold_true_mean,n_eval_rows,n_positive,precision_at_5,recall_at_5,ndcg_at_5,precision_at_10,recall_at_10,ndcg_at_10,precision_at_20,recall_at_20,ndcg_at_20,episode_idx,method
FINETUNE,0.6925133689839572,0.8095189232403917,1.3020122385916406,0.39796467032617583,0.43010620495680574,0.0,0.4358974358974359,0.13399635914575833,0.5641025641025641,39,22,1.0,0.22727272727272727,0.9999999999999999,1.0,0.45454545454545453,1.0,0.55,0.5,0.6849884155157578,0,finetune
FINETUNE,0.8163771712158809,0.8819167179367151,3.65350591723725,0.2954227457103609,0.29543612578315737,0.8266666666666667,0.7045454545454546,0.999981580328612,0.7045454545454546,44,31,1.0,0.16129032258064516,0.8999999999999999,1.0,0.3225806451612903,0.9,0.9,0.5806451612903226,0.8999999999999999,1,finetune
FINETUNE,0.924901185770751,0.9708764665286405,1.4344944831561304,0.5067440366620346,0.5682738986523712,0.0,0.3235294117647059,0.10819668958292288,0.6764705882352942,34,23,1.0,0.21739130434782608,0.9999999999999999,1.0,0.43478260869565216,1.0,1.0,0.8695652173913043,0.9999999999999999,2,finetune
FINETUNE,0.8752688172043012,0.9351917633681421,2.248769381274923,0.31841208582682473,0.3220069043346008,0.8051948051948052,0.6739130434782609,0.9959199478128616,0.6739130434782609,46,31,1.0,0.16129032258064516,0.9999999999999999,1.0,0.3225806451612903,1.0,0.9,0.5806451612903226,0.9316250195240084,3,finetune
FINETUNE,0.9107692307692308,0.9636953615438273,0.4471905238928538,0.1418741700951929,0.25132061443046516,0.8627450980392157,0.8157894736842105,0.5786333787990244,0.6578947368421053,38,25,1.0,0.2,0.9999999999999999,1.0,0.4,1.0,1.0,0.8,0.9999999999999999,4,finetune
FINETUNE,0.9141414141414143,0.9705277753544894,0.7028210512667799,0.2224085322462288,0.3539407712317282,0.6666666666666666,0.6451612903225806,0.3947181276256038,0.7096774193548387,31,22,1.0,0.22727272727272727,0.9999999999999999,1.0,0.45454545454545453,1.0,0.95,0.8636363636363636,0.9665625086152865,5,finetune
FINETUNE,0.8412698412698414,0.9171602336586808,2.9758108057885413,0.5936871564197476,0.5996883853925323,0.0,0.391304347826087,0.0090072667813808,0.6086956521739131,23,14,1.0,0.35714285714285715,0.9999999999999999,0.9,0.6428571428571429,0.9363792118010483,0.65,0.9285714285714286,0.9401201342338921,6,finetune
FINETUNE,0.26373626373626374,0.40412439721674287,2.9026446775150796,0.5111366754401758,0.5088890194531275,0.0,0.48148148148148145,0.009629499065391024,0.5185185185185185,27,14,0.0,0.0,0.0,0.1,0.07142857142857142,0.06362078819895167,0.5,0.7142857142857143,0.45521961173989733,7,finetune
FINETUNE,0.9398148148148149,0.9824635241301907,0.28610627498171876,0.06853353843983363,0.11840294420041822,0.9565217391304348,0.9393939393939394,0.691549230423389,0.7272727272727273,33,24,1.0,0.20833333333333334,0.9999999999999999,1.0,0.4166666666666667,1.0,1.0,0.8333333333333334,0.9999999999999999,8,finetune
FINETUNE,0.7683823529411764,0.831570165945166,2.12320140312731,0.43109966407336425,0.46197791095597274,0.6382978723404256,0.48484848484848486,0.8870134361257608,0.48484848484848486,33,16,1.0,0.3125,0.9999999999999999,0.9,0.5625,0.933745776545611,0.55,0.6875,0.7809902819856204,9,finetune
FINETUNE,0.9222222222222223,0.9667884332206582,0.8004720147204177,0.21197905261742386,0.29164317353682306,0.6666666666666666,0.6923076923076923,0.3237414418477923,0.6153846153846154,39,24,1.0,0.20833333333333334,0.9999999999999999,1.0,0.4166666666666667,1.0,1.0,0.8333333333333334,0.9999999999999999,10,finetune
FINETUNE,0.6515151515151515,0.8094546367666478,1.005887395340272,0.33742268518896684,0.33695467454507144,0.0,0.40540540540540543,0.2576399200495232,0.5945945945945946,37,22,1.0,0.22727272727272727,0.9999999999999999,1.0,0.45454545454545453,1.0,0.6,0.5454545454545454,0.7173267066640776,11,finetune
FINETUNE,0.7541666666666667,0.8366463845294491,0.9141080505111602,0.2779055703360511,0.27066750059114586,0.6285714285714286,0.5806451612903226,0.6377667596849103,0.5161290322580645,31,16,1.0,0.3125,0.9999999999999999,0.9,0.5625,0.933745776545611,0.6,0.75,0.8182766074245434,12,finetune
FINETUNE,0.9507575757575757,0.9835714285714284,0.34038713375988117,0.06331963049479616,0.08441440857215117,0.9565217391304348,0.9428571428571428,0.6012998771421345,0.6857142857142857,35,24,1.0,0.20833333333333334,0.9999999999999999,1.0,0.4166666666666667,1.0,1.0,0.8333333333333334,0.9999999999999999,13,finetune
FINETUNE,0.6083916083916083,0.8123059086538509,1.0371887518638765,0.3462101312442487,0.36623405715716734,0.24,0.45714285714285713,0.2623373714142612,0.6285714285714286,35,22,1.0,0.22727272727272727,0.9999999999999999,1.0,0.45454545454545453,1.0,0.6,0.5454545454545454,0.7173267066640776,14,finetune
FINETUNE,0.6711229946524063,0.8039504076229187,1.0851861596953305,0.3430523011717516,0.36699690485599995,0.08695652173913043,0.46153846153846156,0.1971056592465641,0.5641025641025641,39,22,1.0,0.22727272727272727,0.9999999999999999,1.0,0.45454545454545453,1.0,0.6,0.5454545454545454,0.7178533860833349,15,finetune
FINETUNE,0.9082125603864735,0.9699554984412555,1.2687836915367026,0.4702164831242159,0.5542237332556397,0.0,0.28125,0.16452626674436033,0.71875,32,23,1.0,0.21739130434782608,0.9999999999999999,1.0,0.43478260869565216,1.0,0.95,0.8260869565217391,0.9676617088516801,16,finetune
FINETUNE,1.0,1.0,1.5724621735226239,0.22449817877584427,0.22474025758946214,0.8732394366197183,0.775,0.9997402575894622,0.775,40,31,1.0,0.16129032258064516,0.9999999999999999,1.0,0.3225806451612903,1.0,1.0,0.6451612903225806,0.9999999999999999,17,finetune
FINETUNE,0.2087912087912088,0.38829045889833247,2.5383805494096667,0.5066280942275496,0.5026283596335916,0.0,0.48148148148148145,0.015890158884926845,0.5185185185185185,27,14,0.0,0.0,0.0,0.1,0.07142857142857142,0.06362078819895167,0.45,0.6428571428571429,0.414646428829563,18,finetune
FINETUNE,0.923611111111111,0.9701470588235295,1.730904649500909,0.4306635420475268,0.5104744909136206,0.2222222222222222,0.44,0.1295255090863793,0.64,25,16,1.0,0.3125,0.9999999999999999,1.0,0.625,1.0,0.75,0.9375,0.9582643078154774,19,finetune
ANIL,0.24866310160427807,0.4423787521355008,2.1217964365342885,0.4291182906162106,0.42755932532824004,0.7213114754098361,0.5641025641025641,0.9916618894308041,0.5641025641025641,39,22,0.2,0.045454545454545456,0.2139862647345275,0.2,0.09090909090909091,0.20511666732794348,0.4,0.36363636363636365,0.33825830428607595,0,anil
ANIL,0.1761786600496278,0.5431867421351669,0.6791545881443689,0.23047738656626973,0.13181392983956763,0.8266666666666667,0.7045454545454546,0.8363593843850222,0.7045454545454546,44,31,0.0,0.0,0.0,0.1,0.03225806451612903,0.07839826897867538,0.5,0.3225806451612903,0.3656072674588591,1,anil
ANIL,0.3754940711462451,0.5869057004603124,1.067023145877813,0.2984080523835619,0.2780288843547596,0.8070175438596491,0.6764705882352942,0.9544994725900537,0.6764705882352942,34,23,0.2,0.043478260869565216,0.13120507751234178,0.4,0.17391304347826086,0.30315953217404545,0.7,0.6086956521739131,0.5502819149795779,2,anil
ANIL,0.1376344086021505,0.4995497768116858,0.8349072725774124,0.2728621757936897,0.24659553558930106,0.8051948051948052,0.6739130434782609,0.8956964352856511,0.6739130434782609,46,31,0.0,0.0,0.0,0.1,0.03225806451612903,0.06943122193677731,0.35,0.22580645161290322,0.2477725515655474,3,anil
ANIL,0.2492307692307692,0.5726235083396406,1.1491266628847854,0.31787555729849737,0.30225327297260884,0.7936507936507936,0.6578947368421053,0.9601480098147142,0.6578947368421053,38,25,0.6,0.12,0.6548086577531306,0.3,0.12,0.42492601381667106,0.5,0.4,0.5135535707809322,4,anil
