method,inner_steps,inner_lr,auroc_mean,ndcg_at_10_mean,log_loss_mean,ece_mean,collapse_rate
anil,1,0.01,0.414,0.575,0.881,0.347,0.0
anil,3,0.01,0.521,0.643,0.857,0.337,0.0
anil,5,0.01,0.542,0.647,0.855,0.334,0.0
finetune,1,0.01,0.503,0.699,8.111,0.467,0.9
finetune,3,0.01,0.503,0.699,8.111,0.467,0.9
finetune,5,0.01,0.503,0.699,8.111,0.467,0.9
fomaml,1,0.01,0.478,0.672,1.169,0.219,1.0
fomaml,2,0.005,0.501,0.715,0.624,0.093,1.0
fomaml,3,0.005,0.497,0.708,0.641,0.121,1.0
fomaml,5,0.005,0.515,0.722,0.652,0.132,1.0
maml,1,0.01,0.468,0.712,2.412,0.35,0.8
maml,2,0.005,0.448,0.675,11.478,0.642,1.0
maml,3,0.005,0.591,0.757,0.993,0.214,0.7
maml,5,0.0,0.585,0.703,0.631,0.128,0.9
zero_shot,1,0.01,0.634,0.789,2.06,0.585,0.0
zero_shot,3,0.01,0.634,0.789,2.06,0.585,0.0
zero_shot,5,0.01,0.634,0.789,2.06,0.585,0.0
