method,inner_steps,inner_lr,collapse_rate,auroc_mean,ndcg_at_10_mean
anil,1,0.01,0.0,0.414,0.575
anil,3,0.01,0.0,0.521,0.643
anil,5,0.01,0.0,0.542,0.647
fomaml,1,0.0,0.0,0.324,0.604
fomaml,1,0.001,0.15,0.251,0.561
fomaml,1,0.002,0.1,0.354,0.681
fomaml,1,0.005,0.8,0.473,0.705
fomaml,1,0.01,1.0,0.478,0.672
fomaml,1,0.01,1.0,0.478,0.672
fomaml,2,0.0,0.15,0.317,0.577
fomaml,2,0.001,0.3,0.337,0.663
fomaml,2,0.002,0.15,0.351,0.584
fomaml,2,0.005,1.0,0.501,0.715
fomaml,2,0.01,1.0,0.476,0.676
fomaml,3,0.0,0.0,0.355,0.709
fomaml,3,0.001,0.05,0.34,0.596
fomaml,3,0.002,0.1,0.387,0.638
fomaml,3,0.005,1.0,0.497,0.708
fomaml,3,0.01,1.0,0.49,0.692
fomaml,3,0.01,1.0,0.49,0.692
fomaml,5,0.0,0.1,0.308,0.616
fomaml,5,0.001,0.05,0.443,0.691
fomaml,5,0.002,1.0,0.502,0.713
fomaml,5,0.005,1.0,0.515,0.722
fomaml,5,0.01,1.0,0.503,0.719
fomaml,5,0.01,1.0,0.503,0.719
maml,1,0.0,0.0,0.362,0.682
maml,1,0.001,0.0,0.23,0.593
maml,1,0.002,0.2,0.298,0.547
maml,1,0.005,0.5,0.324,0.556
maml,1,0.01,0.8,0.468,0.712
maml,1,0.01,0.8,0.468,0.712
maml,2,0.0,0.75,0.404,0.63
maml,2,0.001,0.5,0.291,0.547
maml,2,0.002,0.9,0.363,0.6
maml,2,0.005,1.0,0.448,0.675
maml,2,0.01,1.0,0.411,0.64
maml,3,0.0,0.55,0.314,0.594
maml,3,0.001,0.2,0.391,0.607
maml,3,0.002,0.5,0.349,0.605
maml,3,0.005,0.7,0.591,0.757
maml,3,0.01,0.35,0.411,0.686
maml,3,0.01,0.35,0.411,0.686
maml,5,0.0,0.9,0.585,0.703
maml,5,0.001,1.0,0.397,0.643
maml,5,0.002,0.1,0.263,0.539
maml,5,0.005,0.25,0.3,0.609
maml,5,0.01,0.95,0.544,0.678
maml,5,0.01,0.95,0.544,0.678
