inner_steps,method,gold_auroc_mean_mean,gold_auroc_mean_std,gold_logloss_mean_mean,gold_logloss_mean_std,ndcg_at_10_mean_mean,ndcg_at_10_mean_std,gold_ece_mean_mean,gold_ece_mean_std,precision_at_10_mean_mean,precision_at_10_mean_std
1,anil,0.6374,,2.611,,0.8975,,0.6128,,0.7277,
1,finetune,0.5,,5.2049,,0.8495,,0.2826,,0.7377,
1,fomaml,,,,,,,,,,
1,maml,,,,,,,,,,
1,zero_shot,0.6588,,3.0241,,0.9064,,0.6999,,0.7277,
3,anil,0.6357,,1.2655,,0.8942,,0.3437,,0.7277,
3,finetune,0.5,,5.2049,,0.8495,,0.2826,,0.7377,
3,fomaml,,,,,,,,,,
3,maml,,,,,,,,,,
3,zero_shot,0.6588,,3.0241,,0.9064,,0.6999,,0.7277,
5,anil,0.6652,,1.3534,,0.9053,,0.3587,,0.7377,
5,finetune,0.5,,5.2049,,0.8495,,0.2826,,0.7377,
5,fomaml,,,,,,,,,,
5,maml,,,,,,,,,,
5,zero_shot,0.6588,,3.0241,,0.9064,,0.6999,,0.7277,
