stage,method,init_name,n_support_pos,n_support_neg,inner_steps,status,gold_auroc_mean,gold_logloss_mean,ndcg_at_10_mean
Stage 2,anil,A_weak_only,2,2,1,success,0.4142415146393279,0.8809517626131165,0.5750583959876097
Stage 2,anil,A_weak_only,2,2,3,success,0.5205383338471303,0.8565336518997281,0.6433591647039131
Stage 2,anil,A_weak_only,2,2,5,success,0.5418224906264986,0.8545554859706707,0.6474889691091805
Stage 2,finetune,A_weak_only,2,2,1,success,0.503264428182663,8.111464322521439,0.6988845347980265
Stage 2,finetune,A_weak_only,2,2,3,success,0.503264428182663,8.111464322521439,0.6988845347980265
Stage 2,finetune,A_weak_only,2,2,5,success,0.503264428182663,8.111464322521439,0.6988845347980265
Stage 2,fomaml,A_weak_only,2,2,1,success,0.4777253775732236,1.1693020023825855,0.6724272199652929
Stage 2,fomaml,A_weak_only,2,2,3,success,0.4899119730325473,0.6443805249120211,0.6924273748988102
Stage 2,fomaml,A_weak_only,2,2,5,success,0.5025399127257044,0.6393612284319609,0.7187429999166546
Stage 2,maml,A_weak_only,2,2,1,success,0.4676073790284887,2.412279780458557,0.7115664680386722
Stage 2,maml,A_weak_only,2,2,3,success,0.4107143908352316,1.4046348534896036,0.6864734302851956
Stage 2,maml,A_weak_only,2,2,5,success,0.5438998796345756,1.3680800435425735,0.6779951356476788
Stage 2,zero_shot,A_weak_only,2,2,1,success,0.6337635296403165,2.0602508923330203,0.7887610667531434
Stage 2,zero_shot,A_weak_only,2,2,3,success,0.6337635296403165,2.0602508923330203,0.7887610667531434
Stage 2,zero_shot,A_weak_only,2,2,5,success,0.6337635296403165,2.0602508923330203,0.7887610667531434
