method,inner_steps,inner_lr,auroc_mean,auroc_std,ndcg_at_10_mean,log_loss_mean,ece_mean,collapse_rate,pred_std
fomaml,1,0.0,0.324,0.068,0.604,0.958,0.4,0.0,0.154
fomaml,1,0.001,0.251,0.093,0.561,1.213,0.419,0.15,0.135
fomaml,1,0.002,0.354,0.067,0.681,1.054,0.308,0.1,0.068
fomaml,1,0.005,0.473,0.241,0.705,1.296,0.336,0.8,0.009
fomaml,1,0.01,0.478,0.091,0.672,1.169,0.219,1.0,0.003
fomaml,2,0.0,0.317,0.066,0.577,3.07,0.662,0.15,0.114
fomaml,2,0.001,0.337,0.074,0.663,2.744,0.549,0.3,0.093
fomaml,2,0.002,0.351,0.115,0.584,1.106,0.349,0.15,0.039
fomaml,2,0.005,0.501,0.03,0.715,0.624,0.093,1.0,0.002
fomaml,2,0.01,0.476,0.058,0.676,1.22,0.19,1.0,0.002
fomaml,3,0.0,0.355,0.089,0.709,0.83,0.303,0.0,0.123
fomaml,3,0.001,0.34,0.096,0.596,0.744,0.267,0.05,0.085
fomaml,3,0.002,0.387,0.115,0.638,0.787,0.25,0.1,0.021
fomaml,3,0.005,0.497,0.035,0.708,0.641,0.121,1.0,0.002
fomaml,3,0.01,0.49,0.025,0.692,0.644,0.123,1.0,0.003
fomaml,5,0.0,0.308,0.068,0.616,0.99,0.25,0.1,0.034
fomaml,5,0.001,0.443,0.112,0.691,0.69,0.2,0.05,0.062
fomaml,5,0.002,0.502,0.108,0.713,0.676,0.159,1.0,0.003
fomaml,5,0.005,0.515,0.121,0.722,0.652,0.132,1.0,0.002
fomaml,5,0.01,0.503,0.032,0.719,0.639,0.115,1.0,0.002
maml,1,0.0,0.362,0.09,0.682,1.045,0.417,0.0,0.099
maml,1,0.001,0.23,0.064,0.593,1.185,0.468,0.0,0.143
maml,1,0.002,0.298,0.108,0.547,0.934,0.294,0.2,0.047
maml,1,0.005,0.324,0.164,0.556,1.29,0.301,0.5,0.015
maml,1,0.01,0.468,0.194,0.712,2.412,0.35,0.8,0.008
maml,2,0.0,0.404,0.089,0.63,1.675,0.289,0.75,0.008
maml,2,0.001,0.291,0.081,0.547,3.132,0.679,0.5,0.022
maml,2,0.002,0.363,0.111,0.6,5.286,0.419,0.9,0.017
maml,2,0.005,0.448,0.101,0.675,11.478,0.642,1.0,0.0
maml,2,0.01,0.411,0.104,0.64,5.224,0.36,1.0,0.0
maml,3,0.0,0.314,0.085,0.594,0.908,0.225,0.55,0.013
maml,3,0.001,0.391,0.1,0.607,1.311,0.489,0.2,0.026
maml,3,0.002,0.349,0.106,0.605,1.829,0.363,0.5,0.021
maml,3,0.005,0.591,0.158,0.757,0.993,0.214,0.7,0.012
maml,3,0.01,0.411,0.166,0.686,1.405,0.32,0.35,0.02
maml,5,0.0,0.585,0.162,0.703,0.631,0.128,0.9,0.011
maml,5,0.001,0.397,0.105,0.643,6.101,0.697,1.0,0.001
maml,5,0.002,0.263,0.068,0.539,1.256,0.415,0.1,0.076
maml,5,0.005,0.3,0.083,0.609,1.859,0.404,0.25,0.06
maml,5,0.01,0.544,0.148,0.678,1.368,0.312,0.95,0.004
