department,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
"Alliance, Acquisitions & PPM CoE",5,5,5,7,8,8,9,10,10,10,10
Bioprocessing & Raw Materials,5,6,6,6,6,7,9,10,10,10,10
Bioprocessing and Excipients,0,0,0,1,2,4,5,5,5,5,7
Devices & Needles,1,1,1,1,1,2,2,8,9,9,10
Drug Product Outsourcing,0,0,0,0,0,0,1,1,5,8,10
Drug Substance Outsourcing,0,0,0,1,2,3,6,8,8,9,10
Global Strategic Outsourcing & Devices,3,3,3,3,3,3,4,6,6,8,8
HI Warehouse Expansion Program,0,0,0,0,0,0,0,0,4,6,6
Logistics,2,2,3,3,3,3,5,6,8,11,14
Packaging Material,7,7,7,7,8,8,8,8,9,11,11
"Quality, Production Services & Supplies",0,0,1,2,5,5,8,9,10,10,10
Raw Materials & Energy,5,5,5,7,7,7,8,10,10,10,10
Strategic Sourcing US Hub,0,0,0,0,0,0,0,0,1,5,8
"Strategy, Sourcing & Negotiation CoE",0,0,0,0,0,0,0,0,0,0,2
