model,rmse,mae,r2,pred_mean,true_mean,condition,model_base
Mean Predictor_A_weak_only,0.307134693297714,0.2493041588312249,-7.1644244141744196e-06,0.5506247680837403,0.5498026807193741,A_weak_only,Mean Predictor
Elastic Net_A_weak_only,0.15055247715789172,0.11273212963076931,0.7597180374839212,0.5458050583869491,0.5498026807193741,A_weak_only,Elastic Net
XGBoost_A_weak_only,0.005666723252227836,0.002089596891205945,0.9996595844691645,0.549697295590126,0.5498026807193741,A_weak_only,XGBoost
MLP_A_weak_only,0.4398777926753829,0.36251313853754763,-1.0512067320075795,0.18798492627491392,0.5498026807193741,A_weak_only,MLP
Mean Predictor_B_gold_only,0.34664554067461006,0.3073066929748764,-0.2738450225389024,0.7105263157894736,0.5498026807193741,B_gold_only,Mean Predictor
Elastic Net_B_gold_only,0.5051259051811483,0.412819822471871,-1.7048590714905307,0.793821557701479,0.5498026807193741,B_gold_only,Elastic Net
XGBoost_B_gold_only,0.4947913950728773,0.41271133249738606,-1.595312362276002,0.8904488505958198,0.5498026807193741,B_gold_only,XGBoost
MLP_B_gold_only,0.5399258595119316,0.4454376809257764,-2.0903923184758737,0.9842766647913506,0.5498026807193741,B_gold_only,MLP
Mean Predictor_C_hybrid,0.307141008804736,0.2493376739842766,-4.829046676047e-05,0.5519369932889704,0.5498026807193741,C_hybrid,Mean Predictor
Elastic Net_C_hybrid,0.15285529694156094,0.11461529872364427,0.7523112136527403,0.5432623709146613,0.5498026807193741,C_hybrid,Elastic Net
XGBoost_C_hybrid,0.043279480251301815,0.008595874939133535,0.9801431921941433,0.5492191215615705,0.5498026807193741,C_hybrid,XGBoost
MLP_C_hybrid,0.5446969000916498,0.4499474008138303,-2.1452499663970075,0.9997500787285564,0.5498026807193741,C_hybrid,MLP
Mean Predictor_D_hybrid_unweighted,0.307141008804736,0.2493376739842766,-4.829046676047e-05,0.5519369932889704,0.5498026807193741,D_hybrid_unweighted,Mean Predictor
Elastic Net_D_hybrid_unweighted,0.15092921250712688,0.11312526643123218,0.7585139926135536,0.5452127733248237,0.5498026807193741,D_hybrid_unweighted,Elastic Net
XGBoost_D_hybrid_unweighted,0.025938328451333037,0.0052216671203046796,0.992867704476448,0.5492671212064253,0.5498026807193741,D_hybrid_unweighted,XGBoost
MLP_D_hybrid_unweighted,0.5449824531825834,0.4501959098941101,-2.148548576210505,0.9999985906134843,0.5498026807193741,D_hybrid_unweighted,MLP
