model,gold_auroc,gold_ap,gold_logloss,gold_brier,gold_ece,gold_f1,gold_accuracy,gold_pred_mean,gold_true_mean,n_eval_rows,n_positive,precision_at_5,recall_at_5,ndcg_at_5,precision_at_10,recall_at_10,ndcg_at_10,precision_at_20,recall_at_20,ndcg_at_20,condition,model_base
Mean Predictor_A_weak_only,0.5,0.75,0.6484665046505378,0.22772863213537176,0.20057076590413603,0.8571428571428571,0.75,0.549429234095864,0.75,16,12,0.6,0.25,0.7499999999999999,0.8,0.6666666666666666,0.75,0.75,1.0,0.8992209520003496,A_weak_only,Mean Predictor
Elastic Net_A_weak_only,0.9375,0.9833333333333334,0.31150237820591786,0.0868938811383617,0.16952593582680126,0.9565217391304348,0.9375,0.7099022474188936,0.75,16,12,1.0,0.4166666666666667,0.9999999999999999,1.0,0.8333333333333334,1.0,0.75,1.0,0.9960260777722643,A_weak_only,Elastic Net
XGBoost_A_weak_only,0.9375,0.9833333333333334,0.3253031464054517,0.08938050905011725,0.13630729911890188,0.9565217391304348,0.9375,0.7637885958138451,0.75,16,12,1.0,0.4166666666666667,0.9999999999999999,1.0,0.8333333333333334,1.0,0.75,1.0,0.9960260777722643,A_weak_only,XGBoost
MLP_A_weak_only,0.9375,0.9833333333333333,0.27048543250336776,0.08769173346910034,0.15841899832594208,0.9565217391304348,0.9375,0.7564772062178236,0.75,16,12,1.0,0.4166666666666667,0.9999999999999999,1.0,0.8333333333333334,1.0,0.75,1.0,0.9960260777722643,A_weak_only,MLP
Mean Predictor_B_gold_only,0.5,0.75,0.7412878236511908,0.27400519031141873,0.29411764705882354,0.0,0.25,0.45588235294117646,0.75,16,12,0.6,0.25,0.7499999999999999,0.8,0.6666666666666666,0.75,0.75,1.0,0.8992209520003496,B_gold_only,Mean Predictor
Elastic Net_B_gold_only,1.0,1.0,0.467767399685764,0.11883109844847681,0.11652623559932253,0.9230769230769231,0.875,0.8665262355993224,0.75,16,12,1.0,0.4166666666666667,0.9999999999999999,1.0,0.8333333333333334,1.0,0.75,1.0,1.0,B_gold_only,Elastic Net
XGBoost_B_gold_only,1.0,0.9999999999999999,0.4796256667092281,0.16538792780168987,0.23993210121989247,0.8571428571428571,0.75,0.9112415947020054,0.75,16,12,1.0,0.4166666666666667,0.9999999999999999,1.0,0.8333333333333334,1.0,0.75,1.0,1.0,B_gold_only,XGBoost
MLP_B_gold_only,0.41666666666666663,0.6872507122507123,1.8213090377149839,0.24965016208845903,0.2493387833237648,0.8571428571428571,0.75,0.9993387833237648,0.75,16,12,0.6,0.25,0.44685352999185624,0.8,0.6666666666666666,0.6410457898283652,0.75,1.0,0.7759035330325232,B_gold_only,MLP
Mean Predictor_C_hybrid,0.5,0.75,0.6490243743978548,0.22800487873764863,0.20125823893110228,0.8571428571428571,0.75,0.5487417610688977,0.75,16,12,0.6,0.25,0.7499999999999999,0.8,0.6666666666666666,0.75,0.75,1.0,0.8992209520003496,C_hybrid,Mean Predictor
Elastic Net_C_hybrid,0.9375,0.9833333333333334,0.34002528346026195,0.08982037725363771,0.1759807701147318,0.9565217391304348,0.9375,0.7025540316537502,0.75,16,12,1.0,0.4166666666666667,0.9999999999999999,1.0,0.8333333333333334,1.0,0.75,1.0,0.9960260777722643,C_hybrid,Elastic Net
XGBoost_C_hybrid,0.9375,0.9833333333333334,0.3202853040666006,0.0890211270298272,0.13654152855378449,0.9565217391304348,0.9375,0.763342635779559,0.75,16,12,1.0,0.4166666666666667,0.9999999999999999,1.0,0.8333333333333334,1.0,0.75,1.0,0.9960260777722643,C_hybrid,XGBoost
MLP_C_hybrid,0.9375,0.9833333333333333,0.216770183116139,0.08193906699450554,0.14241046283859757,0.88,0.8125,0.8001404424430802,0.75,16,12,1.0,0.4166666666666667,0.9999999999999999,1.0,0.8333333333333334,1.0,0.75,1.0,0.9960260777722643,C_hybrid,MLP
