model,condition,model_base,n_gold_samples,n_gold_classes,diagnostic_only,gold_auroc,gold_ap,gold_logloss,gold_brier,gold_ece,gold_f1,gold_accuracy
Mean Predictor_A_weak_only,A_weak_only,Mean Predictor,1,1,True,,,,,,,
Elastic Net_A_weak_only,A_weak_only,Elastic Net,1,1,True,,,,,,,
XGBoost_A_weak_only,A_weak_only,XGBoost,1,1,True,,,,,,,
MLP_A_weak_only,A_weak_only,MLP,1,1,True,,,,,,,
Mean Predictor_B_gold_only,B_gold_only,Mean Predictor,1,1,True,,,,,,,
Elastic Net_B_gold_only,B_gold_only,Elastic Net,1,1,True,,,,,,,
XGBoost_B_gold_only,B_gold_only,XGBoost,1,1,True,,,,,,,
MLP_B_gold_only,B_gold_only,MLP,1,1,True,,,,,,,
Mean Predictor_C_hybrid,C_hybrid,Mean Predictor,1,1,True,,,,,,,
Elastic Net_C_hybrid,C_hybrid,Elastic Net,1,1,True,,,,,,,
XGBoost_C_hybrid,C_hybrid,XGBoost,1,1,True,,,,,,,
MLP_C_hybrid,C_hybrid,MLP,1,1,True,,,,,,,
Mean Predictor_D_hybrid_unweighted,D_hybrid_unweighted,Mean Predictor,1,1,True,,,,,,,
Elastic Net_D_hybrid_unweighted,D_hybrid_unweighted,Elastic Net,1,1,True,,,,,,,
XGBoost_D_hybrid_unweighted,D_hybrid_unweighted,XGBoost,1,1,True,,,,,,,
MLP_D_hybrid_unweighted,D_hybrid_unweighted,MLP,1,1,True,,,,,,,
