model,gold_auroc,gold_ap,gold_logloss,gold_brier,gold_ece,gold_f1,gold_accuracy,gold_pred_mean,gold_true_mean,n_eval_rows,n_positive,precision_at_5,recall_at_5,ndcg_at_5,precision_at_10,recall_at_10,ndcg_at_10,precision_at_20,recall_at_20,ndcg_at_20,condition,model_base,n_gold_samples,n_gold_classes,diagnostic_only
Mean Predictor_A_weak_only,0.5,0.4375,0.7109990771337479,0.258890963154,0.11312476808374028,0.6086956521739131,0.4375,0.5506247680837403,0.4375,16,7,0.0,0.0,0.43749999999999994,0.2,0.2857142857142857,0.5464011565390907,0.4375,1.0,0.7342975882775339,A_weak_only,Mean Predictor,16,2,False
Elastic Net_A_weak_only,0.46031746031746035,0.48819335426478283,0.9053902801367765,0.30894989017088026,0.3425154272084603,0.0,0.5,0.29923840461732354,0.4375,16,7,0.4,0.2857142857142857,0.38356636737133554,0.4,0.5714285714285714,0.49549257728947255,0.4375,1.0,0.7052941654247983,A_weak_only,Elastic Net,16,2,False
XGBoost_A_weak_only,0.6031746031746031,0.6982142857142857,2.196919452047596,0.3243451327882654,0.32017066207554784,0.0,0.5625,0.11732933792445216,0.4375,16,7,0.8,0.5714285714285714,0.8304198973631918,0.5,0.7142857142857143,0.7524805433208905,0.4375,1.0,0.8884482704124145,A_weak_only,XGBoost,16,2,False
MLP_A_weak_only,0.5079365079365079,0.6706632653061224,1.19099000093281,0.3378283322845495,0.30668412672821427,0.0,0.5625,0.13081587327178568,0.4375,16,7,0.6,0.42857142857142855,0.7227265726449517,0.4,0.5714285714285714,0.6724559848537955,0.4375,1.0,0.8787805151850266,A_weak_only,MLP,16,2,False
Mean Predictor_B_gold_only,0.5,0.4375,0.8816219122067217,0.33456416025547975,0.2974397590361446,0.6086956521739131,0.4375,0.7349397590361446,0.4375,16,7,0.0,0.0,0.43749999999999994,0.2,0.2857142857142857,0.5464011565390907,0.4375,1.0,0.7342975882775339,B_gold_only,Mean Predictor,16,2,False
Elastic Net_B_gold_only,0.6349206349206349,0.5450396825396826,5.470492194669031,0.5276049026130993,0.5600906621470016,0.6086956521739131,0.4375,0.9584046526232202,0.4375,16,7,0.4,0.2857142857142857,0.5555555555555556,0.6,0.8571428571428571,0.7291569959880116,0.4375,1.0,0.7964056398509629,B_gold_only,Elastic Net,16,2,False
XGBoost_B_gold_only,0.14285714285714285,0.31065105529391246,6.174405474758221,0.5579698782641114,0.5540298005980968,0.6086956521739131,0.4375,0.9915298005980968,0.4375,16,7,0.2,0.14285714285714285,0.19999999999999998,0.2,0.2857142857142857,0.24483834737437365,0.4375,1.0,0.5976410916407796,B_gold_only,XGBoost,16,2,False
MLP_B_gold_only,0.5,0.4375,10.36163292002178,0.5624999887500001,0.56249999,0.6086956521739131,0.4375,0.99999999,0.4375,16,7,0.0,0.0,0.43749999999999994,0.2,0.2857142857142857,0.5464011565390907,0.4375,1.0,0.7342975882775339,B_gold_only,MLP,16,2,False
Mean Predictor_C_hybrid,0.5,0.4375,0.7117594930247052,0.2592671446160636,0.11477540945718112,0.6086956521739131,0.4375,0.5522754094571811,0.4375,16,7,0.0,0.0,0.43749999999999994,0.2,0.2857142857142857,0.5464011565390907,0.4375,1.0,0.7342975882775339,C_hybrid,Mean Predictor,16,2,False
Elastic Net_C_hybrid,0.4126984126984127,0.45637755102040817,0.8953225205975245,0.3123296021775776,0.3033171480187087,0.0,0.5,0.34156364007089524,0.4375,16,7,0.4,0.2857142857142857,0.36005461457723387,0.4,0.5714285714285714,0.47643720378768994,0.4375,1.0,0.682761734118921,C_hybrid,Elastic Net,16,2,False
XGBoost_C_hybrid,0.5079365079365079,0.6619897959183674,3.8553897655760716,0.32080774137412627,0.3187063126701248,0.0,0.5625,0.13175135805575727,0.4375,16,7,0.6,0.42857142857142855,0.69921481985085,0.4,0.5714285714285714,0.6583122271626569,0.4375,1.0,0.864636757493888,C_hybrid,XGBoost,16,2,False
MLP_C_hybrid,0.6031746031746033,0.7274350649350649,1.3662149643841197,0.3484386566105222,0.34670104438555427,0.0,0.5625,0.09079895561444573,0.4375,16,7,0.8,0.5714285714285714,0.8539316501572934,0.4,0.5714285714285714,0.6920788373899057,0.4375,1.0,0.9047213784743225,C_hybrid,MLP,16,2,False
