experiment_id,method,init_name,target_department,n_support_pos,n_support_neg,inner_steps,status,gold_auroc_mean,synthetic_proportion,augmentation_method,is_stale,stale_reason,is_diagnostic,diagnostic_reason,is_current_clean
stage2__init-A_weak_only__method-anil__kpos-1__kneg-1__steps-3__target-Logistics__synprop-1__gen-smote_nc,anil,A_weak_only,Logistics,1,1,3,success,0.4595959595959596,1.0,smote_nc,True,synprop_1.0_invalid,False,,False
stage2__init-A_weak_only__method-anil__kpos-1__kneg-1__steps-3__target-Logistics__synprop-0.9__gen-smote_nc,anil,A_weak_only,Logistics,1,1,3,success,0.4799242424242423,0.9,smote_nc,False,,False,,True
stage2__init-A_weak_only__method-anil__kpos-1__kneg-1__steps-3__target-Logistics__synprop-0__gen-none,anil,A_weak_only,Logistics,1,1,3,success,0.4916140572390574,0.0,none,False,,False,,True
stage2__init-A_weak_only__method-anil__kpos-1__kneg-1__steps-3__target-Logistics__synprop-0.5__gen-smote_nc,anil,A_weak_only,Logistics,1,1,3,success,0.4916140572390574,0.5,smote_nc,False,,False,,True
stage2__init-A_weak_only__method-anil__kpos-1__kneg-1__steps-3__target-Packaging-Material__synprop-1__gen-smote_nc,anil,A_weak_only,Packaging Material,1,1,3,success,0.2892398678992386,1.0,smote_nc,True,synprop_1.0_invalid,False,,False
stage2__init-A_weak_only__method-anil__kpos-1__kneg-1__steps-3__target-Packaging-Material__synprop-0.9__gen-smote_nc,anil,A_weak_only,Packaging Material,1,1,3,success,0.2776597949692224,0.9,smote_nc,False,,False,,True
stage2__init-A_weak_only__method-anil__kpos-1__kneg-1__steps-3__target-Packaging-Material__synprop-0__gen-none,anil,A_weak_only,Packaging Material,1,1,3,success,0.3173191736322975,0.0,none,False,,False,,True
stage2__init-A_weak_only__method-anil__kpos-1__kneg-1__steps-3__target-Packaging-Material__synprop-0.5__gen-smote_nc,anil,A_weak_only,Packaging Material,1,1,3,success,0.3173191736322975,0.5,smote_nc,False,,False,,True
stage2__init-A_weak_only__method-anil__kpos-1__kneg-1__steps-5__target-Logistics__synprop-0.9__gen-smote_nc,anil,A_weak_only,Logistics,1,1,5,success,0.4632575757575757,0.9,smote_nc,False,,False,,True
stage2__init-A_weak_only__method-anil__kpos-1__kneg-1__steps-5__target-Logistics__synprop-0__gen-none,anil,A_weak_only,Logistics,1,1,5,success,0.4810132575757576,0.0,none,False,,False,,True
stage2__init-A_weak_only__method-anil__kpos-1__kneg-1__steps-5__target-Logistics__synprop-0.5__gen-smote_nc,anil,A_weak_only,Logistics,1,1,5,success,0.4810132575757576,0.5,smote_nc,False,,False,,True
stage2__init-A_weak_only__method-anil__kpos-1__kneg-1__steps-5__target-Packaging-Material__synprop-0.9__gen-smote_nc,anil,A_weak_only,Packaging Material,1,1,5,success,0.2776597949692224,0.9,smote_nc,False,,False,,True
stage2__init-A_weak_only__method-anil__kpos-1__kneg-1__steps-5__target-Packaging-Material__synprop-0__gen-none,anil,A_weak_only,Packaging Material,1,1,5,success,0.3170683756386815,0.0,none,False,,False,,True
stage2__init-A_weak_only__method-anil__kpos-1__kneg-1__steps-5__target-Packaging-Material__synprop-0.5__gen-smote_nc,anil,A_weak_only,Packaging Material,1,1,5,success,0.3170683756386815,0.5,smote_nc,False,,False,,True
stage2__init-A_weak_only__method-anil__kpos-2__kneg-2__steps-1__target-Logistics,anil,A_weak_only,Logistics,2,2,1,failed,,,,True,architecture_mismatch,False,,False
stage2__init-A_weak_only__method-anil__kpos-2__kneg-2__steps-3__target-Logistics,anil,A_weak_only,Logistics,2,2,3,success,0.7571428571428571,0.0,none,False,,False,,True
stage2__init-A_weak_only__method-anil__kpos-2__kneg-2__steps-3__target-Logistics__synprop-1__gen-smote_nc,anil,A_weak_only,Logistics,2,2,3,success,0.2869047619047619,1.0,smote_nc,True,synprop_1.0_invalid,False,,False
stage2__init-A_weak_only__method-anil__kpos-2__kneg-2__steps-3__target-Logistics__synprop-0.9__gen-smote_nc,anil,A_weak_only,Logistics,2,2,3,success,0.280021645021645,0.9,smote_nc,False,,False,,True
stage2__init-A_weak_only__method-anil__kpos-2__kneg-2__steps-3__target-Logistics__synprop-0__gen-none,anil,A_weak_only,Logistics,2,2,3,success,0.3748863636363636,0.0,none,False,,False,,True
stage2__init-A_weak_only__method-anil__kpos-2__kneg-2__steps-3__target-Logistics__synprop-0.5__gen-smote_nc,anil,A_weak_only,Logistics,2,2,3,success,0.3748863636363636,0.5,smote_nc,False,,False,,True
stage2__init-A_weak_only__method-anil__kpos-2__kneg-2__steps-3__target-Packaging-Material__synprop-1__gen-smote_nc,anil,A_weak_only,Packaging Material,2,2,3,success,,1.0,smote_nc,True,synprop_1.0_invalid,False,,False
stage2__init-A_weak_only__method-anil__kpos-2__kneg-2__steps-3__target-Packaging-Material__synprop-0.9__gen-smote_nc,anil,A_weak_only,Packaging Material,2,2,3,success,,0.9,smote_nc,False,,False,,True
stage2__init-A_weak_only__method-anil__kpos-2__kneg-2__steps-3__target-Packaging-Material__synprop-0__gen-none,anil,A_weak_only,Packaging Material,2,2,3,success,,0.0,none,False,,False,,True
stage2__init-A_weak_only__method-anil__kpos-2__kneg-2__steps-3__target-Packaging-Material__synprop-0.5__gen-smote_nc,anil,A_weak_only,Packaging Material,2,2,3,success,,0.5,smote_nc,False,,False,,True
stage2__init-A_weak_only__method-anil__kpos-2__kneg-2__steps-5__target-Logistics,anil,A_weak_only,Logistics,2,2,5,success,0.5418224906264986,,,False,,False,,True
stage2__init-A_weak_only__method-anil__kpos-2__kneg-2__steps-5__target-Logistics__synprop-0.9__gen-smote_nc,anil,A_weak_only,Logistics,2,2,5,success,0.2666883116883117,0.9,smote_nc,False,,False,,True
