feature,importance
num__contract_age_years,0.23094459
num__fin_flag_moderate_or_worse_rating,0.20588255
num__fin_implied_rating_missing_flag,0.09711425
num__Tracking_Tracing,0.055107355
num__fin_risk_level_missing_flag,0.052638963
num__open_ended_contract,0.048031155
cat__expiry_range_180 days,0.03462502
num__financial_row_missing_pct,0.022374544
num__start_year,0.019622944
num__fin_flag_multiple_financial_stress_signals,0.019605638
num__expiry_year,0.017566757
num__days_until_expiry,0.012281712
num__years_to_expiry,0.011524219
cat__fin_implied_rating_Baa,0.010675846
cat__department_Logistics,0.010335888
num__fin_total_stress_flags,0.009898496
num__start_year_capped,0.007760949
num__fin_flag_severe_financial_stress,0.0073191635
cat__fin_risk_level_Take caution,0.004879373
num__news_negative_count,0.004517026
cat__expiry_range_360 days,0.004224669
num__observation_year,0.004122374
num__market_flag_negative_52w_price_trend,0.003908893
cat__contract_commodity_Warehouse Operations - Storage,0.003772308
cat__fin_implied_rating_Ba,0.0035712211
num__esg_social_score,0.0034868135
num__esg_row_missing_pct,0.0034377621
cat__payment_terms_F030 Invoice Date + 30 days,0.0033139295
num__Price_trends_52 weeks_%,0.0030170036
num__fin_flag_liquidity_stress,0.0027632415
cat__contract_commodity_Freights Forwarding - Road,0.002586482
num__PPI_Value,0.0025665509
cat__Risk level_Take caution,0.0022340573
num__news_article_count,0.0021441975
num__Customs,0.0019613523
num__fin_Gross_margin,0.0019430217
num__Infrastructure,0.0018882741
num__LPI_Score,0.0017875542
"cat__fin_output_text_Use caution. Input from outdated and/or partial data, hence low quality credit rating & traffic light. Mitigation actions required. Request financial data from supplier as described in the risk process tab.",0.0016622631
num__news_has_high_relevance_negative_news,0.0016366416
cat__fin_risk_level_Do not source,0.0015978632
cat__fin_Implied_rating - original_Baa3,0.001592525
cat__department_from_cost_center_Drug Substance Outsourcing,0.0015922781
cat__incoterms_DAP Del.at Place-excl.unloading,0.0014740389
num__contracts_per_supplier,0.0013096445
cat__start_date_2022-06-20 00:00:00+00:00,0.0013003825
num__esg_esg_industry_adjusted,0.0012637988
"cat__supplier_sector_Chemicals, Petroleum, Rubber & Plastic",0.0011531776
cat__payment_terms_L045 Current Month + 45 days,0.0011381063
num__fin_flag_risk_do_not_source,0.0010883954
num__fin_Net_income_th_DKK,0.0010732736
num__fin_implied_rating_ordinal,0.0010708529
num__fin_Total_assets_th_DKK,0.0010631053
num__fin_current_ratio,0.0009739288
num__contract_value_dkk,0.0009715859
num__news_avg_sentiment_score,0.00082339474
cat__contract_name_lower_kuehne + nagel a/s_cda_2022,0.0008101303
num__fin_Long_term_debtth_DKK,0.00079877
num__fin_flag_risk_take_caution_or_worse,0.0007678358
cat__start_date_2015-03-09 00:00:00+00:00,0.0007605959
cat__nn_contract_type_Logistics Services Provider Agreement,0.0007192807
num__news_neutral_count,0.00071262574
num__contract_owner_cost_centre,0.00070949236
cat__incoterms_DDP Delivered duty paid,0.0006948301
num__fin_flag_gearing_high,0.0006375134
cat__department_from_cost_center_Bioprocessing & Raw Materials,0.0006097535
cat__incoterms_FOB Free on board,0.0005936945
cat__fin_output_text_Approved for sourcing. No further actions required.,0.00057608885
num__Year,0.0005511168
"cat__contract_type_Finance, Legal & Procurement",0.00054433744
cat__expiration_date_2027-02-28 00:00:00+00:00,0.0005398823
num__Timeliness,0.00051851355
num__fin_Total_liabilities_Equity_ratio,0.000509135
cat__contract_currency_code_EUR,0.0004929215
cat__department_from_cost_center_Devices & Needles,0.0004912976
cat__expiration_date_2027-06-19 00:00:00+00:00,0.00048710598
num__fin_gearing,0.00048261363
